MES,BASE DE COCA,BASUCO,COCAINA,HEROINA,MARIHUANA
Apr,3554660,182603,28518277,27535,22583309
Feb,1590069,218180,20087002,46316,14927616
Jan,906104,123001,32965997,8338,14209745
Jun,1903149,145766,14489283,1955,11249095
Mar,1613808,167154,25925493,10753,17641042
May,1579111,129855,7878391,62780,15361671
