Fecha,Zona,CantidadTotal
24/04/2017,URBANA,84
25/04/2017,RURAL,5
25/04/2017,URBANA,74
26/04/2017,RURAL,7
26/04/2017,URBANA,81
27/04/2017,RURAL,9
27/04/2017,URBANA,71
28/04/2017,RURAL,16
28/04/2017,URBANA,109
29/04/2017,RURAL,8
29/04/2017,URBANA,59
30/04/2017,RURAL,17
30/04/2017,URBANA,71
01/05/2017,RURAL,18
01/05/2017,URBANA,142
02/05/2017,RURAL,11
02/05/2017,URBANA,106
03/05/2017,RURAL,11
03/05/2017,URBANA,74
04/05/2017,RURAL,10
04/05/2017,URBANA,92
05/05/2017,RURAL,13
05/05/2017,URBANA,119
06/05/2017,RURAL,4
06/05/2017,URBANA,88
07/05/2017,RURAL,12
07/05/2017,URBANA,59
08/05/2017,RURAL,16
08/05/2017,URBANA,101
09/05/2017,RURAL,10
09/05/2017,URBANA,80
10/05/2017,RURAL,22
10/05/2017,URBANA,95
11/05/2017,RURAL,11
11/05/2017,URBANA,74
12/05/2017,RURAL,9
12/05/2017,URBANA,83
13/05/2017,RURAL,5
13/05/2017,URBANA,68
14/05/2017,RURAL,13
14/05/2017,URBANA,66
15/05/2017,RURAL,18
15/05/2017,URBANA,86
16/05/2017,RURAL,16
16/05/2017,URBANA,72
17/05/2017,RURAL,17
17/05/2017,URBANA,88
18/05/2017,RURAL,11
18/05/2017,URBANA,91
19/05/2017,RURAL,6
19/05/2017,URBANA,90
20/05/2017,RURAL,9
20/05/2017,URBANA,77
21/05/2017,RURAL,18
21/05/2017,URBANA,60
22/05/2017,RURAL,9
22/05/2017,URBANA,101
23/05/2017,RURAL,9
23/05/2017,URBANA,86
24/05/2017,RURAL,3
24/05/2017,URBANA,52
25/05/2017,RURAL,9
25/05/2017,URBANA,75
26/05/2017,RURAL,10
26/05/2017,URBANA,67
27/05/2017,RURAL,10
27/05/2017,URBANA,65
28/05/2017,RURAL,10
28/05/2017,URBANA,59
29/05/2017,RURAL,6
29/05/2017,URBANA,40
30/05/2017,RURAL,14
30/05/2017,URBANA,87
31/05/2017,RURAL,8
31/05/2017,URBANA,92
01/06/2017,RURAL,25
01/06/2017,URBANA,159
02/06/2017,RURAL,12
02/06/2017,URBANA,81
03/06/2017,RURAL,5
03/06/2017,URBANA,65
04/06/2017,RURAL,8
04/06/2017,URBANA,70
05/06/2017,RURAL,10
05/06/2017,URBANA,85
06/06/2017,RURAL,8
06/06/2017,URBANA,77
07/06/2017,RURAL,9
07/06/2017,URBANA,56
08/06/2017,RURAL,7
08/06/2017,URBANA,68
09/06/2017,RURAL,12
09/06/2017,URBANA,85
10/06/2017,RURAL,7
10/06/2017,URBANA,63
11/06/2017,RURAL,9
11/06/2017,URBANA,69
12/06/2017,RURAL,9
12/06/2017,URBANA,75
13/06/2017,RURAL,9
13/06/2017,URBANA,81
14/06/2017,RURAL,11
14/06/2017,URBANA,86
15/06/2017,RURAL,20
15/06/2017,URBANA,95
16/06/2017,RURAL,6
16/06/2017,URBANA,76
17/06/2017,RURAL,9
17/06/2017,URBANA,61
18/06/2017,RURAL,9
18/06/2017,URBANA,61
19/06/2017,RURAL,8
19/06/2017,URBANA,64
20/06/2017,RURAL,17
20/06/2017,URBANA,85
21/06/2017,RURAL,7
21/06/2017,URBANA,65
22/06/2017,RURAL,4
22/06/2017,URBANA,62
23/06/2017,RURAL,18
23/06/2017,URBANA,63
24/06/2017,RURAL,8
24/06/2017,URBANA,64
25/06/2017,RURAL,10
25/06/2017,URBANA,65
26/06/2017,RURAL,8
26/06/2017,URBANA,52
27/06/2017,RURAL,7
27/06/2017,URBANA,73
28/06/2017,RURAL,8
28/06/2017,URBANA,62
29/06/2017,RURAL,8
29/06/2017,URBANA,68
30/06/2017,RURAL,7
30/06/2017,URBANA,71
01/07/2017,RURAL,18
01/07/2017,URBANA,119
02/07/2017,RURAL,8
02/07/2017,URBANA,80
03/07/2017,RURAL,13
03/07/2017,URBANA,67
04/07/2017,RURAL,7
04/07/2017,URBANA,74
05/07/2017,RURAL,8
05/07/2017,URBANA,81
06/07/2017,RURAL,7
06/07/2017,URBANA,67
07/07/2017,RURAL,13
07/07/2017,URBANA,96
08/07/2017,RURAL,8
08/07/2017,URBANA,58
09/07/2017,RURAL,9
09/07/2017,URBANA,61
10/07/2017,RURAL,11
10/07/2017,URBANA,97
11/07/2017,RURAL,14
11/07/2017,URBANA,91
12/07/2017,RURAL,15
12/07/2017,URBANA,70
13/07/2017,RURAL,8
13/07/2017,URBANA,71
14/07/2017,RURAL,14
14/07/2017,URBANA,80
15/07/2017,RURAL,13
15/07/2017,URBANA,82
16/07/2017,RURAL,10
16/07/2017,URBANA,80
17/07/2017,RURAL,8
17/07/2017,URBANA,86
18/07/2017,RURAL,5
18/07/2017,URBANA,75
19/07/2017,RURAL,7
19/07/2017,URBANA,103
20/07/2017,RURAL,6
20/07/2017,URBANA,69
21/07/2017,RURAL,7
21/07/2017,URBANA,69
22/07/2017,RURAL,11
22/07/2017,URBANA,63
23/07/2017,RURAL,9
23/07/2017,URBANA,51
24/07/2017,RURAL,7
24/07/2017,URBANA,82
25/07/2017,RURAL,14
25/07/2017,URBANA,90
26/07/2017,RURAL,7
26/07/2017,URBANA,84
27/07/2017,RURAL,7
27/07/2017,URBANA,86
