Fecha,CantidadTotal
21/12/2017,40
22/12/2017,40
23/12/2017,16
24/12/2017,39
25/12/2017,35
26/12/2017,34
27/12/2017,26
28/12/2017,36
29/12/2017,35
30/12/2017,21
31/12/2017,40
01/01/2018,175
02/01/2018,57
03/01/2018,65
04/01/2018,53
05/01/2018,60
06/01/2018,68
07/01/2018,56
08/01/2018,48
09/01/2018,63
10/01/2018,73
11/01/2018,73
12/01/2018,61
13/01/2018,71
14/01/2018,59
15/01/2018,95
16/01/2018,68
17/01/2018,87
18/01/2018,67
19/01/2018,66
20/01/2018,74
21/01/2018,48
22/01/2018,76
23/01/2018,57
24/01/2018,78
25/01/2018,76
26/01/2018,68
27/01/2018,52
28/01/2018,52
29/01/2018,57
30/01/2018,62
31/01/2018,51
01/02/2018,77
02/02/2018,57
03/02/2018,38
04/02/2018,44
05/02/2018,53
06/02/2018,64
07/02/2018,43
08/02/2018,36
09/02/2018,60
10/02/2018,41
11/02/2018,35
12/02/2018,43
13/02/2018,44
14/02/2018,47
15/02/2018,54
16/02/2018,51
17/02/2018,35
18/02/2018,44
19/02/2018,58
20/02/2018,70
21/02/2018,59
22/02/2018,78
23/02/2018,82
24/02/2018,62
25/02/2018,58
26/02/2018,75
27/02/2018,65
28/02/2018,67
01/03/2018,96
02/03/2018,67
03/03/2018,59
04/03/2018,60
05/03/2018,75
06/03/2018,62
07/03/2018,56
08/03/2018,75
09/03/2018,62
10/03/2018,66
11/03/2018,72
12/03/2018,91
13/03/2018,91
14/03/2018,88
15/03/2018,83
16/03/2018,66
17/03/2018,48
18/03/2018,70
19/03/2018,61
20/03/2018,91
21/03/2018,68
22/03/2018,89
23/03/2018,67
24/03/2018,48
25/03/2018,52
26/03/2018,54
27/03/2018,67
28/03/2018,59
29/03/2018,38
30/03/2018,34
31/03/2018,35
01/04/2018,71
02/04/2018,73
03/04/2018,73
04/04/2018,77
05/04/2018,73
06/04/2018,75
07/04/2018,63
08/04/2018,65
09/04/2018,73
10/04/2018,71
11/04/2018,74
12/04/2018,70
13/04/2018,62
14/04/2018,52
15/04/2018,82
16/04/2018,104
17/04/2018,88
18/04/2018,88
19/04/2018,69
20/04/2018,90
21/04/2018,67
22/04/2018,68
23/04/2018,51
24/04/2018,80
25/04/2018,60
26/04/2018,62
27/04/2018,72
28/04/2018,77
29/04/2018,57
30/04/2018,63
01/05/2018,73
02/05/2018,71
03/05/2018,71
04/05/2018,54
05/05/2018,68
06/05/2018,56
07/05/2018,69
08/05/2018,63
09/05/2018,71
10/05/2018,58
11/05/2018,66
12/05/2018,65
13/05/2018,63
14/05/2018,53
15/05/2018,78
16/05/2018,81
17/05/2018,83
18/05/2018,57
19/05/2018,45
20/05/2018,72
21/05/2018,47
22/05/2018,71
23/05/2018,83
24/05/2018,67
25/05/2018,62
26/05/2018,60
27/05/2018,53
28/05/2018,85
29/05/2018,80
30/05/2018,65
31/05/2018,67
01/06/2018,87
02/06/2018,52
03/06/2018,67
04/06/2018,41
05/06/2018,54
06/06/2018,60
07/06/2018,48
08/06/2018,55
09/06/2018,59
10/06/2018,57
11/06/2018,59
12/06/2018,63
13/06/2018,52
14/06/2018,42
15/06/2018,55
16/06/2018,30
17/06/2018,38
18/06/2018,62
19/06/2018,39
20/06/2018,39
21/06/2018,45
22/06/2018,45
23/06/2018,31
24/06/2018,53
25/06/2018,58
26/06/2018,42
27/06/2018,45
28/06/2018,36
29/06/2018,40
30/06/2018,31
01/07/2018,41
02/07/2018,32
03/07/2018,41
04/07/2018,42
05/07/2018,25
06/07/2018,13
07/07/2018,5
08/07/2018,3
