name,Fecha,CantidadTotal
Homicidios,01/08/2017,23
Homicidios,02/08/2017,35
Homicidios,03/08/2017,21
Homicidios,04/08/2017,37
Homicidios,05/08/2017,45
Homicidios,06/08/2017,51
Homicidios,07/08/2017,36
Homicidios,08/08/2017,27
Homicidios,09/08/2017,27
Homicidios,10/08/2017,29
Homicidios,11/08/2017,15
Homicidios,12/08/2017,35
Homicidios,13/08/2017,51
Homicidios,14/08/2017,33
Homicidios,15/08/2017,24
Homicidios,16/08/2017,24
Homicidios,17/08/2017,33
Homicidios,18/08/2017,20
Homicidios,19/08/2017,29
Homicidios,20/08/2017,43
Homicidios,21/08/2017,35
Homicidios,22/08/2017,19
Homicidios,23/08/2017,28
Homicidios,24/08/2017,34
Homicidios,25/08/2017,23
Homicidios,26/08/2017,24
Homicidios,27/08/2017,48
Homicidios,28/08/2017,26
Homicidios,29/08/2017,16
Homicidios,30/08/2017,32
Homicidios,31/08/2017,31
Homicidios,01/09/2017,33
Homicidios,02/09/2017,31
Homicidios,03/09/2017,49
Homicidios,04/09/2017,34
Homicidios,05/09/2017,24
Homicidios,06/09/2017,24
Homicidios,07/09/2017,26
Homicidios,08/09/2017,31
Homicidios,09/09/2017,31
Homicidios,10/09/2017,40
Homicidios,11/09/2017,37
Homicidios,12/09/2017,25
Homicidios,13/09/2017,24
Homicidios,14/09/2017,24
Homicidios,15/09/2017,26
Homicidios,16/09/2017,46
Homicidios,17/09/2017,51
Homicidios,18/09/2017,35
Homicidios,19/09/2017,28
Homicidios,20/09/2017,21
Homicidios,21/09/2017,27
Homicidios,22/09/2017,25
Homicidios,23/09/2017,32
Homicidios,24/09/2017,42
Homicidios,25/09/2017,32
Homicidios,26/09/2017,24
Homicidios,27/09/2017,28
Homicidios,28/09/2017,21
Homicidios,29/09/2017,21
Homicidios,30/09/2017,24
Homicidios,01/10/2017,59
Homicidios,02/10/2017,26
Homicidios,03/10/2017,22
Homicidios,04/10/2017,26
Homicidios,05/10/2017,33
Homicidios,06/10/2017,32
Homicidios,07/10/2017,35
Homicidios,08/10/2017,53
Homicidios,09/10/2017,27
Homicidios,10/10/2017,36
Homicidios,11/10/2017,17
Homicidios,12/10/2017,21
Homicidios,13/10/2017,30
Homicidios,14/10/2017,41
Homicidios,15/10/2017,51
Homicidios,16/10/2017,39
Homicidios,17/10/2017,33
Homicidios,18/10/2017,31
Homicidios,19/10/2017,31
Homicidios,20/10/2017,32
Homicidios,21/10/2017,34
Homicidios,22/10/2017,44
Homicidios,23/10/2017,24
Homicidios,24/10/2017,20
Homicidios,25/10/2017,28
Homicidios,26/10/2017,15
Homicidios,27/10/2017,30
Homicidios,28/10/2017,34
Homicidios,29/10/2017,49
Homicidios,30/10/2017,25
Homicidios,31/10/2017,45
Homicidios,01/11/2017,32
Homicidios,02/11/2017,24
Homicidios,03/11/2017,26
Homicidios,04/11/2017,44
Homicidios,05/11/2017,53
Homicidios,06/11/2017,41
Homicidios,07/11/2017,28
Homicidios,08/11/2017,37
Homicidios,09/11/2017,29
Homicidios,10/11/2017,37
Homicidios,11/11/2017,44
Homicidios,12/11/2017,60
Homicidios,13/11/2017,29
Homicidios,14/11/2017,31
Homicidios,15/11/2017,22
Homicidios,16/11/2017,30
Homicidios,17/11/2017,23
Homicidios,18/11/2017,35
Homicidios,19/11/2017,38
Homicidios,20/11/2017,28
Homicidios,21/11/2017,30
Homicidios,22/11/2017,17
Homicidios,23/11/2017,41
Homicidios,24/11/2017,21
Homicidios,25/11/2017,35
Homicidios,26/11/2017,67
Homicidios,27/11/2017,37
Homicidios,28/11/2017,21
Homicidios,29/11/2017,34
Homicidios,30/11/2017,46
Homicidios,01/12/2017,31
Homicidios,02/12/2017,34
Homicidios,03/12/2017,57
Homicidios,04/12/2017,25
Homicidios,05/12/2017,34
