Fecha,Sexo,CantidadTotal
08/04/2017,FEMENINO,34
08/04/2017,MASCULINO,44
09/04/2017,FEMENINO,32
09/04/2017,MASCULINO,38
10/04/2017,FEMENINO,42
10/04/2017,MASCULINO,55
11/04/2017,FEMENINO,28
11/04/2017,MASCULINO,32
12/04/2017,FEMENINO,30
12/04/2017,MASCULINO,37
13/04/2017,FEMENINO,35
13/04/2017,MASCULINO,47
14/04/2017,FEMENINO,24
14/04/2017,MASCULINO,18
15/04/2017,-,1
15/04/2017,FEMENINO,43
15/04/2017,MASCULINO,49
16/04/2017,FEMENINO,41
16/04/2017,MASCULINO,50
17/04/2017,FEMENINO,45
17/04/2017,MASCULINO,54
18/04/2017,FEMENINO,64
18/04/2017,MASCULINO,53
19/04/2017,FEMENINO,43
19/04/2017,MASCULINO,67
20/04/2017,FEMENINO,49
20/04/2017,MASCULINO,55
21/04/2017,FEMENINO,59
21/04/2017,MASCULINO,52
22/04/2017,FEMENINO,36
22/04/2017,MASCULINO,42
23/04/2017,FEMENINO,60
23/04/2017,MASCULINO,47
24/04/2017,FEMENINO,41
24/04/2017,MASCULINO,59
25/04/2017,FEMENINO,38
25/04/2017,MASCULINO,55
26/04/2017,FEMENINO,46
26/04/2017,MASCULINO,46
27/04/2017,FEMENINO,48
27/04/2017,MASCULINO,52
28/04/2017,FEMENINO,58
28/04/2017,MASCULINO,48
29/04/2017,FEMENINO,20
29/04/2017,MASCULINO,30
30/04/2017,FEMENINO,37
30/04/2017,MASCULINO,53
01/05/2017,FEMENINO,42
01/05/2017,MASCULINO,77
02/05/2017,FEMENINO,47
02/05/2017,MASCULINO,54
03/05/2017,FEMENINO,43
03/05/2017,MASCULINO,50
04/05/2017,FEMENINO,46
04/05/2017,MASCULINO,69
05/05/2017,FEMENINO,57
05/05/2017,MASCULINO,65
06/05/2017,FEMENINO,28
06/05/2017,MASCULINO,40
07/05/2017,FEMENINO,47
07/05/2017,MASCULINO,49
08/05/2017,FEMENINO,66
08/05/2017,MASCULINO,70
09/05/2017,FEMENINO,46
09/05/2017,MASCULINO,58
10/05/2017,FEMENINO,51
10/05/2017,MASCULINO,55
11/05/2017,FEMENINO,36
11/05/2017,MASCULINO,41
12/05/2017,FEMENINO,38
12/05/2017,MASCULINO,48
13/05/2017,FEMENINO,33
13/05/2017,MASCULINO,53
14/05/2017,FEMENINO,53
14/05/2017,MASCULINO,60
15/05/2017,FEMENINO,41
15/05/2017,MASCULINO,73
16/05/2017,FEMENINO,46
16/05/2017,MASCULINO,55
17/05/2017,FEMENINO,46
17/05/2017,MASCULINO,60
