Fecha,Sexo,CantidadTotal
13/04/2017,FEMENINO,1
13/04/2017,MASCULINO,24
14/04/2017,FEMENINO,1
14/04/2017,MASCULINO,18
15/04/2017,FEMENINO,4
15/04/2017,MASCULINO,15
16/04/2017,FEMENINO,2
16/04/2017,MASCULINO,39
17/04/2017,FEMENINO,5
17/04/2017,MASCULINO,35
18/04/2017,FEMENINO,2
18/04/2017,MASCULINO,24
19/04/2017,FEMENINO,3
19/04/2017,MASCULINO,29
20/04/2017,FEMENINO,3
20/04/2017,MASCULINO,17
21/04/2017,FEMENINO,2
21/04/2017,MASCULINO,26
22/04/2017,FEMENINO,5
22/04/2017,MASCULINO,43
23/04/2017,FEMENINO,7
23/04/2017,MASCULINO,51
24/04/2017,FEMENINO,5
24/04/2017,MASCULINO,24
25/04/2017,FEMENINO,3
25/04/2017,MASCULINO,18
26/04/2017,FEMENINO,4
26/04/2017,MASCULINO,26
27/04/2017,FEMENINO,5
27/04/2017,MASCULINO,28
28/04/2017,FEMENINO,1
28/04/2017,MASCULINO,23
29/04/2017,MASCULINO,41
30/04/2017,FEMENINO,3
30/04/2017,MASCULINO,47
01/05/2017,FEMENINO,4
01/05/2017,MASCULINO,34
02/05/2017,FEMENINO,6
02/05/2017,MASCULINO,33
03/05/2017,FEMENINO,5
03/05/2017,MASCULINO,27
04/05/2017,FEMENINO,1
04/05/2017,MASCULINO,23
05/05/2017,FEMENINO,2
05/05/2017,MASCULINO,27
06/05/2017,FEMENINO,2
06/05/2017,MASCULINO,26
07/05/2017,FEMENINO,4
07/05/2017,MASCULINO,44
08/05/2017,FEMENINO,3
08/05/2017,MASCULINO,26
09/05/2017,MASCULINO,23
10/05/2017,FEMENINO,2
10/05/2017,MASCULINO,22
11/05/2017,FEMENINO,5
11/05/2017,MASCULINO,9
12/05/2017,FEMENINO,3
12/05/2017,MASCULINO,28
13/05/2017,FEMENINO,4
13/05/2017,MASCULINO,33
14/05/2017,FEMENINO,7
14/05/2017,MASCULINO,46
15/05/2017,FEMENINO,4
15/05/2017,MASCULINO,24
16/05/2017,FEMENINO,5
16/05/2017,MASCULINO,29
17/05/2017,MASCULINO,22
18/05/2017,FEMENINO,2
18/05/2017,MASCULINO,26
19/05/2017,FEMENINO,4
19/05/2017,MASCULINO,31
20/05/2017,FEMENINO,5
20/05/2017,MASCULINO,36
21/05/2017,FEMENINO,9
21/05/2017,MASCULINO,55
22/05/2017,MASCULINO,31
23/05/2017,FEMENINO,4
23/05/2017,MASCULINO,24
24/05/2017,FEMENINO,1
24/05/2017,MASCULINO,28
25/05/2017,FEMENINO,5
25/05/2017,MASCULINO,29
26/05/2017,FEMENINO,3
26/05/2017,MASCULINO,26
27/05/2017,FEMENINO,4
27/05/2017,MASCULINO,31
28/05/2017,FEMENINO,4
28/05/2017,MASCULINO,41
29/05/2017,FEMENINO,3
29/05/2017,MASCULINO,45
30/05/2017,FEMENINO,2
30/05/2017,MASCULINO,25
31/05/2017,FEMENINO,3
31/05/2017,MASCULINO,31
01/06/2017,FEMENINO,2
01/06/2017,MASCULINO,26
02/06/2017,FEMENINO,2
02/06/2017,MASCULINO,27
03/06/2017,FEMENINO,2
03/06/2017,MASCULINO,46
04/06/2017,FEMENINO,3
04/06/2017,MASCULINO,41
05/06/2017,MASCULINO,29
06/06/2017,FEMENINO,5
06/06/2017,MASCULINO,17
07/06/2017,FEMENINO,4
07/06/2017,MASCULINO,23
08/06/2017,FEMENINO,4
08/06/2017,MASCULINO,14
09/06/2017,MASCULINO,20
10/06/2017,FEMENINO,2
10/06/2017,MASCULINO,42
11/06/2017,FEMENINO,3
11/06/2017,MASCULINO,31
12/06/2017,FEMENINO,4
12/06/2017,MASCULINO,24
13/06/2017,FEMENINO,3
13/06/2017,MASCULINO,25
14/06/2017,FEMENINO,3
14/06/2017,MASCULINO,19
15/06/2017,FEMENINO,4
15/06/2017,MASCULINO,22
16/06/2017,FEMENINO,3
16/06/2017,MASCULINO,27
17/06/2017,FEMENINO,5
17/06/2017,MASCULINO,23
18/06/2017,FEMENINO,5
18/06/2017,MASCULINO,44
19/06/2017,FEMENINO,6
19/06/2017,MASCULINO,32
20/06/2017,FEMENINO,4
20/06/2017,MASCULINO,19
21/06/2017,FEMENINO,1
21/06/2017,MASCULINO,23
22/06/2017,FEMENINO,1
22/06/2017,MASCULINO,13
23/06/2017,FEMENINO,4
23/06/2017,MASCULINO,22
24/06/2017,FEMENINO,2
24/06/2017,MASCULINO,25
25/06/2017,FEMENINO,6
25/06/2017,MASCULINO,45
26/06/2017,FEMENINO,3
26/06/2017,MASCULINO,26
27/06/2017,FEMENINO,1
27/06/2017,MASCULINO,32
28/06/2017,MASCULINO,19
29/06/2017,FEMENINO,1
29/06/2017,MASCULINO,28
30/06/2017,FEMENINO,3
30/06/2017,MASCULINO,28
01/07/2017,FEMENINO,4
01/07/2017,MASCULINO,40
02/07/2017,FEMENINO,6
02/07/2017,MASCULINO,63
03/07/2017,FEMENINO,3
03/07/2017,MASCULINO,35
04/07/2017,FEMENINO,2
04/07/2017,MASCULINO,20
05/07/2017,FEMENINO,4
05/07/2017,MASCULINO,22
06/07/2017,FEMENINO,1
06/07/2017,MASCULINO,17
07/07/2017,FEMENINO,1
07/07/2017,MASCULINO,26
08/07/2017,FEMENINO,13
08/07/2017,MASCULINO,45
09/07/2017,FEMENINO,3
09/07/2017,MASCULINO,47
10/07/2017,FEMENINO,4
10/07/2017,MASCULINO,24
11/07/2017,FEMENINO,2
11/07/2017,MASCULINO,24
12/07/2017,FEMENINO,1
12/07/2017,MASCULINO,26
13/07/2017,FEMENINO,4
13/07/2017,MASCULINO,26
14/07/2017,FEMENINO,1
14/07/2017,MASCULINO,25
15/07/2017,MASCULINO,29
16/07/2017,FEMENINO,5
16/07/2017,MASCULINO,68
17/07/2017,MASCULINO,41
18/07/2017,FEMENINO,5
18/07/2017,MASCULINO,17
19/07/2017,FEMENINO,4
19/07/2017,MASCULINO,28
20/07/2017,FEMENINO,1
20/07/2017,MASCULINO,23
21/07/2017,FEMENINO,2
21/07/2017,MASCULINO,29
22/07/2017,MASCULINO,30
23/07/2017,FEMENINO,6
23/07/2017,MASCULINO,51
24/07/2017,FEMENINO,4
24/07/2017,MASCULINO,30
25/07/2017,FEMENINO,2
25/07/2017,MASCULINO,23
26/07/2017,MASCULINO,23
27/07/2017,FEMENINO,2
27/07/2017,MASCULINO,38
28/07/2017,FEMENINO,1
28/07/2017,MASCULINO,27
29/07/2017,FEMENINO,2
29/07/2017,MASCULINO,31
30/07/2017,FEMENINO,3
30/07/2017,MASCULINO,43
31/07/2017,FEMENINO,3
31/07/2017,MASCULINO,20
01/08/2017,FEMENINO,1
01/08/2017,MASCULINO,22
02/08/2017,FEMENINO,3
02/08/2017,MASCULINO,32
03/08/2017,FEMENINO,2
03/08/2017,MASCULINO,19
04/08/2017,FEMENINO,1
04/08/2017,MASCULINO,36
05/08/2017,FEMENINO,6
05/08/2017,MASCULINO,39
06/08/2017,FEMENINO,2
06/08/2017,MASCULINO,49
07/08/2017,FEMENINO,5
07/08/2017,MASCULINO,31
08/08/2017,FEMENINO,4
08/08/2017,MASCULINO,23
09/08/2017,FEMENINO,3
09/08/2017,MASCULINO,24
10/08/2017,FEMENINO,5
10/08/2017,MASCULINO,24
11/08/2017,FEMENINO,4
11/08/2017,MASCULINO,11
12/08/2017,FEMENINO,1
12/08/2017,MASCULINO,34
13/08/2017,FEMENINO,9
13/08/2017,MASCULINO,42
14/08/2017,FEMENINO,2
14/08/2017,MASCULINO,31
15/08/2017,MASCULINO,24
16/08/2017,MASCULINO,24
17/08/2017,FEMENINO,2
17/08/2017,MASCULINO,31
18/08/2017,FEMENINO,4
18/08/2017,MASCULINO,16
19/08/2017,FEMENINO,5
19/08/2017,MASCULINO,24
20/08/2017,FEMENINO,3
20/08/2017,MASCULINO,40
21/08/2017,MASCULINO,35
22/08/2017,FEMENINO,4
22/08/2017,MASCULINO,15
23/08/2017,FEMENINO,2
23/08/2017,MASCULINO,26
24/08/2017,FEMENINO,3
24/08/2017,MASCULINO,31
25/08/2017,MASCULINO,23
26/08/2017,FEMENINO,1
26/08/2017,MASCULINO,23
27/08/2017,FEMENINO,1
27/08/2017,MASCULINO,47
28/08/2017,FEMENINO,4
28/08/2017,MASCULINO,22
29/08/2017,FEMENINO,1
29/08/2017,MASCULINO,15
30/08/2017,FEMENINO,2
30/08/2017,MASCULINO,30
31/08/2017,MASCULINO,31
01/09/2017,FEMENINO,3
01/09/2017,MASCULINO,30
02/09/2017,FEMENINO,6
02/09/2017,MASCULINO,25
03/09/2017,FEMENINO,3
03/09/2017,MASCULINO,46
04/09/2017,FEMENINO,1
04/09/2017,MASCULINO,33
05/09/2017,FEMENINO,2
05/09/2017,MASCULINO,22
06/09/2017,FEMENINO,1
06/09/2017,MASCULINO,23
07/09/2017,MASCULINO,26
08/09/2017,FEMENINO,3
08/09/2017,MASCULINO,28
09/09/2017,FEMENINO,4
09/09/2017,MASCULINO,27
10/09/2017,FEMENINO,4
10/09/2017,MASCULINO,36
11/09/2017,FEMENINO,3
