Fecha,CantidadTotal
21/12/2017,33
22/12/2017,37
23/12/2017,46
24/12/2017,49
25/12/2017,56
26/12/2017,48
27/12/2017,39
28/12/2017,42
29/12/2017,37
30/12/2017,27
31/12/2017,31
01/01/2018,180
02/01/2018,93
03/01/2018,110
04/01/2018,119
05/01/2018,103
06/01/2018,77
07/01/2018,97
08/01/2018,88
09/01/2018,105
10/01/2018,120
11/01/2018,140
12/01/2018,99
13/01/2018,107
14/01/2018,114
15/01/2018,168
16/01/2018,142
17/01/2018,92
18/01/2018,149
19/01/2018,102
20/01/2018,108
21/01/2018,109
22/01/2018,153
23/01/2018,125
24/01/2018,107
25/01/2018,114
26/01/2018,116
27/01/2018,119
28/01/2018,120
29/01/2018,121
30/01/2018,117
31/01/2018,111
01/02/2018,102
02/02/2018,112
03/02/2018,67
04/02/2018,87
05/02/2018,109
06/02/2018,96
07/02/2018,98
08/02/2018,100
09/02/2018,88
10/02/2018,113
11/02/2018,99
12/02/2018,115
13/02/2018,110
14/02/2018,106
15/02/2018,133
16/02/2018,140
17/02/2018,88
18/02/2018,103
19/02/2018,131
20/02/2018,159
21/02/2018,123
22/02/2018,137
23/02/2018,158
24/02/2018,141
25/02/2018,140
26/02/2018,165
27/02/2018,165
28/02/2018,177
01/03/2018,185
02/03/2018,159
03/03/2018,128
04/03/2018,123
05/03/2018,156
06/03/2018,160
07/03/2018,183
08/03/2018,178
09/03/2018,160
10/03/2018,154
11/03/2018,163
12/03/2018,165
13/03/2018,158
14/03/2018,153
15/03/2018,144
16/03/2018,128
17/03/2018,148
18/03/2018,137
19/03/2018,104
20/03/2018,177
21/03/2018,160
22/03/2018,150
23/03/2018,134
24/03/2018,99
25/03/2018,113
26/03/2018,119
27/03/2018,125
28/03/2018,138
29/03/2018,73
30/03/2018,72
31/03/2018,81
01/04/2018,116
02/04/2018,146
03/04/2018,168
04/04/2018,137
05/04/2018,137
06/04/2018,142
07/04/2018,158
08/04/2018,129
09/04/2018,186
10/04/2018,161
11/04/2018,160
12/04/2018,156
13/04/2018,149
14/04/2018,151
15/04/2018,194
16/04/2018,182
17/04/2018,137
18/04/2018,156
19/04/2018,158
20/04/2018,161
21/04/2018,104
22/04/2018,153
23/04/2018,168
24/04/2018,137
25/04/2018,162
26/04/2018,139
27/04/2018,118
28/04/2018,117
29/04/2018,107
30/04/2018,139
01/05/2018,139
02/05/2018,168
03/05/2018,159
04/05/2018,128
05/05/2018,112
06/05/2018,125
07/05/2018,161
08/05/2018,145
09/05/2018,147
10/05/2018,127
11/05/2018,141
12/05/2018,90
13/05/2018,127
14/05/2018,105
15/05/2018,176
16/05/2018,163
17/05/2018,153
18/05/2018,129
19/05/2018,105
20/05/2018,150
21/05/2018,156
22/05/2018,162
23/05/2018,139
24/05/2018,156
25/05/2018,158
26/05/2018,82
27/05/2018,113
28/05/2018,152
29/05/2018,143
30/05/2018,171
31/05/2018,130
01/06/2018,149
02/06/2018,142
03/06/2018,117
04/06/2018,93
05/06/2018,137
06/06/2018,129
07/06/2018,119
08/06/2018,135
09/06/2018,109
10/06/2018,145
11/06/2018,104
12/06/2018,131
13/06/2018,140
14/06/2018,133
15/06/2018,122
16/06/2018,103
17/06/2018,98
18/06/2018,138
19/06/2018,133
20/06/2018,141
21/06/2018,94
22/06/2018,104
23/06/2018,63
24/06/2018,128
25/06/2018,89
26/06/2018,103
27/06/2018,85
28/06/2018,99
29/06/2018,83
30/06/2018,56
01/07/2018,58
02/07/2018,60
03/07/2018,80
04/07/2018,88
05/07/2018,49
06/07/2018,35
07/07/2018,10
08/07/2018,1
