Fecha,Zona,CantidadTotal
24/04/2017,URBANA,87
25/04/2017,RURAL,6
25/04/2017,URBANA,87
26/04/2017,RURAL,10
26/04/2017,URBANA,82
27/04/2017,RURAL,7
27/04/2017,URBANA,93
28/04/2017,RURAL,7
28/04/2017,URBANA,99
29/04/2017,RURAL,6
29/04/2017,URBANA,44
30/04/2017,RURAL,11
30/04/2017,URBANA,79
01/05/2017,RURAL,12
01/05/2017,URBANA,107
02/05/2017,RURAL,12
02/05/2017,URBANA,89
03/05/2017,RURAL,11
03/05/2017,URBANA,82
04/05/2017,RURAL,7
04/05/2017,URBANA,108
05/05/2017,RURAL,11
05/05/2017,URBANA,111
06/05/2017,RURAL,4
06/05/2017,URBANA,64
07/05/2017,RURAL,10
07/05/2017,URBANA,86
08/05/2017,RURAL,12
08/05/2017,URBANA,124
09/05/2017,RURAL,7
09/05/2017,URBANA,97
10/05/2017,RURAL,6
10/05/2017,URBANA,100
11/05/2017,RURAL,4
11/05/2017,URBANA,73
12/05/2017,RURAL,8
12/05/2017,URBANA,78
13/05/2017,RURAL,6
13/05/2017,URBANA,80
14/05/2017,RURAL,13
14/05/2017,URBANA,100
15/05/2017,RURAL,12
15/05/2017,URBANA,102
16/05/2017,RURAL,5
16/05/2017,URBANA,96
17/05/2017,RURAL,11
17/05/2017,URBANA,95
18/05/2017,RURAL,7
18/05/2017,URBANA,92
19/05/2017,RURAL,11
19/05/2017,URBANA,87
20/05/2017,RURAL,7
20/05/2017,URBANA,89
21/05/2017,RURAL,12
21/05/2017,URBANA,92
22/05/2017,RURAL,5
22/05/2017,URBANA,100
23/05/2017,RURAL,8
23/05/2017,URBANA,105
24/05/2017,RURAL,8
24/05/2017,URBANA,102
25/05/2017,RURAL,8
25/05/2017,URBANA,104
26/05/2017,RURAL,11
26/05/2017,URBANA,89
27/05/2017,RURAL,8
27/05/2017,URBANA,76
28/05/2017,RURAL,8
28/05/2017,URBANA,80
29/05/2017,RURAL,7
29/05/2017,URBANA,56
30/05/2017,RURAL,7
30/05/2017,URBANA,79
31/05/2017,RURAL,7
31/05/2017,URBANA,72
01/06/2017,RURAL,8
01/06/2017,URBANA,136
02/06/2017,RURAL,1
02/06/2017,URBANA,86
03/06/2017,RURAL,9
03/06/2017,URBANA,82
04/06/2017,RURAL,13
04/06/2017,URBANA,69
05/06/2017,RURAL,11
05/06/2017,URBANA,86
06/06/2017,RURAL,8
06/06/2017,URBANA,92
07/06/2017,RURAL,7
07/06/2017,URBANA,99
08/06/2017,RURAL,7
08/06/2017,URBANA,80
09/06/2017,RURAL,3
09/06/2017,URBANA,87
10/06/2017,RURAL,11
10/06/2017,URBANA,93
11/06/2017,RURAL,14
11/06/2017,URBANA,97
12/06/2017,RURAL,9
12/06/2017,URBANA,74
13/06/2017,RURAL,7
13/06/2017,URBANA,97
14/06/2017,RURAL,3
14/06/2017,URBANA,85
15/06/2017,RURAL,11
15/06/2017,URBANA,84
16/06/2017,RURAL,10
16/06/2017,URBANA,70
17/06/2017,RURAL,6
17/06/2017,URBANA,64
18/06/2017,RURAL,8
18/06/2017,URBANA,66
19/06/2017,RURAL,3
19/06/2017,URBANA,61
20/06/2017,RURAL,15
20/06/2017,URBANA,108
21/06/2017,RURAL,10
21/06/2017,URBANA,76
22/06/2017,RURAL,4
22/06/2017,URBANA,74
23/06/2017,RURAL,5
23/06/2017,URBANA,95
24/06/2017,RURAL,16
24/06/2017,URBANA,67
25/06/2017,RURAL,14
25/06/2017,URBANA,77
26/06/2017,RURAL,7
26/06/2017,URBANA,71
27/06/2017,RURAL,11
27/06/2017,URBANA,93
28/06/2017,RURAL,9
28/06/2017,URBANA,81
29/06/2017,RURAL,11
29/06/2017,URBANA,79
30/06/2017,RURAL,5
30/06/2017,URBANA,70
01/07/2017,RURAL,17
01/07/2017,URBANA,72
02/07/2017,RURAL,9
02/07/2017,URBANA,99
03/07/2017,RURAL,10
03/07/2017,URBANA,68
04/07/2017,RURAL,14
04/07/2017,URBANA,96
05/07/2017,RURAL,9
05/07/2017,URBANA,94
06/07/2017,RURAL,11
06/07/2017,URBANA,78
07/07/2017,RURAL,4
07/07/2017,URBANA,77
08/07/2017,RURAL,9
08/07/2017,URBANA,70
09/07/2017,RURAL,15
09/07/2017,URBANA,97
10/07/2017,RURAL,11
10/07/2017,URBANA,62
11/07/2017,RURAL,10
11/07/2017,URBANA,89
12/07/2017,RURAL,5
12/07/2017,URBANA,83
13/07/2017,RURAL,7
13/07/2017,URBANA,76
14/07/2017,RURAL,10
14/07/2017,URBANA,72
15/07/2017,RURAL,18
15/07/2017,URBANA,86
16/07/2017,RURAL,6
16/07/2017,URBANA,96
17/07/2017,RURAL,12
17/07/2017,URBANA,106
18/07/2017,RURAL,9
18/07/2017,URBANA,97
19/07/2017,RURAL,8
19/07/2017,URBANA,87
20/07/2017,RURAL,9
20/07/2017,URBANA,87
21/07/2017,RURAL,13
21/07/2017,URBANA,97
22/07/2017,RURAL,9
22/07/2017,URBANA,59
23/07/2017,RURAL,14
23/07/2017,URBANA,60
24/07/2017,RURAL,12
24/07/2017,URBANA,86
25/07/2017,RURAL,10
25/07/2017,URBANA,76
26/07/2017,RURAL,5
26/07/2017,URBANA,77
27/07/2017,RURAL,12
27/07/2017,URBANA,97
28/07/2017,RURAL,7
28/07/2017,URBANA,71
