Fecha,Sexo,CantidadTotal
10/04/2017,FEMENINO,64
10/04/2017,MASCULINO,5
11/04/2017,FEMENINO,60
11/04/2017,MASCULINO,8
12/04/2017,FEMENINO,73
12/04/2017,MASCULINO,8
13/04/2017,FEMENINO,36
13/04/2017,MASCULINO,12
14/04/2017,-,1
14/04/2017,FEMENINO,49
14/04/2017,MASCULINO,2
15/04/2017,FEMENINO,85
15/04/2017,MASCULINO,7
16/04/2017,FEMENINO,54
16/04/2017,MASCULINO,4
17/04/2017,FEMENINO,84
17/04/2017,MASCULINO,13
18/04/2017,FEMENINO,81
18/04/2017,MASCULINO,16
19/04/2017,FEMENINO,57
19/04/2017,MASCULINO,10
20/04/2017,FEMENINO,62
20/04/2017,MASCULINO,6
21/04/2017,FEMENINO,54
21/04/2017,MASCULINO,7
22/04/2017,FEMENINO,60
22/04/2017,MASCULINO,4
23/04/2017,FEMENINO,64
23/04/2017,MASCULINO,10
24/04/2017,FEMENINO,75
24/04/2017,MASCULINO,26
25/04/2017,FEMENINO,69
25/04/2017,MASCULINO,10
26/04/2017,FEMENINO,76
26/04/2017,MASCULINO,12
27/04/2017,FEMENINO,69
27/04/2017,MASCULINO,11
28/04/2017,FEMENINO,105
28/04/2017,MASCULINO,20
29/04/2017,FEMENINO,55
29/04/2017,MASCULINO,12
30/04/2017,FEMENINO,78
30/04/2017,MASCULINO,10
01/05/2017,-,1
01/05/2017,FEMENINO,140
01/05/2017,MASCULINO,19
02/05/2017,FEMENINO,101
02/05/2017,MASCULINO,16
03/05/2017,FEMENINO,75
03/05/2017,MASCULINO,10
04/05/2017,FEMENINO,83
04/05/2017,MASCULINO,19
05/05/2017,FEMENINO,106
05/05/2017,MASCULINO,26
06/05/2017,FEMENINO,77
06/05/2017,MASCULINO,15
07/05/2017,FEMENINO,63
07/05/2017,MASCULINO,8
08/05/2017,FEMENINO,98
08/05/2017,MASCULINO,19
09/05/2017,FEMENINO,76
09/05/2017,MASCULINO,14
10/05/2017,FEMENINO,100
10/05/2017,MASCULINO,17
11/05/2017,FEMENINO,76
11/05/2017,MASCULINO,9
12/05/2017,FEMENINO,74
12/05/2017,MASCULINO,18
13/05/2017,FEMENINO,65
13/05/2017,MASCULINO,8
14/05/2017,FEMENINO,67
14/05/2017,MASCULINO,12
15/05/2017,FEMENINO,93
15/05/2017,MASCULINO,11
16/05/2017,FEMENINO,79
16/05/2017,MASCULINO,9
17/05/2017,FEMENINO,92
17/05/2017,MASCULINO,13
18/05/2017,FEMENINO,88
18/05/2017,MASCULINO,14
19/05/2017,FEMENINO,81
19/05/2017,MASCULINO,15
20/05/2017,FEMENINO,76
20/05/2017,MASCULINO,10
21/05/2017,FEMENINO,66
21/05/2017,MASCULINO,12
22/05/2017,FEMENINO,98
22/05/2017,MASCULINO,12
23/05/2017,-,1
23/05/2017,FEMENINO,80
23/05/2017,MASCULINO,14
24/05/2017,FEMENINO,50
24/05/2017,MASCULINO,5
25/05/2017,FEMENINO,71
25/05/2017,MASCULINO,13
26/05/2017,FEMENINO,69
26/05/2017,MASCULINO,8
27/05/2017,FEMENINO,68
27/05/2017,MASCULINO,7
28/05/2017,FEMENINO,57
28/05/2017,MASCULINO,12
29/05/2017,FEMENINO,37
29/05/2017,MASCULINO,9
30/05/2017,FEMENINO,90
30/05/2017,MASCULINO,11
31/05/2017,FEMENINO,85
31/05/2017,MASCULINO,15
01/06/2017,-,1
01/06/2017,FEMENINO,155
01/06/2017,MASCULINO,28
02/06/2017,FEMENINO,81
02/06/2017,MASCULINO,12
03/06/2017,-,1
03/06/2017,FEMENINO,56
03/06/2017,MASCULINO,13
04/06/2017,-,1
04/06/2017,FEMENINO,72
04/06/2017,MASCULINO,5
05/06/2017,FEMENINO,87
05/06/2017,MASCULINO,8
06/06/2017,FEMENINO,74
06/06/2017,MASCULINO,11
07/06/2017,FEMENINO,55
07/06/2017,MASCULINO,10
08/06/2017,FEMENINO,70
08/06/2017,MASCULINO,5
09/06/2017,FEMENINO,88
09/06/2017,MASCULINO,9
10/06/2017,FEMENINO,56
10/06/2017,MASCULINO,14
11/06/2017,-,2
11/06/2017,FEMENINO,74
11/06/2017,MASCULINO,2
12/06/2017,FEMENINO,72
12/06/2017,MASCULINO,12
13/06/2017,FEMENINO,71
13/06/2017,MASCULINO,19
14/06/2017,FEMENINO,79
14/06/2017,MASCULINO,18
15/06/2017,FEMENINO,99
15/06/2017,MASCULINO,16
16/06/2017,FEMENINO,76
16/06/2017,MASCULINO,6
17/06/2017,FEMENINO,55
17/06/2017,MASCULINO,15
18/06/2017,FEMENINO,60
18/06/2017,MASCULINO,10
19/06/2017,FEMENINO,66
19/06/2017,MASCULINO,6
20/06/2017,FEMENINO,83
20/06/2017,MASCULINO,19
21/06/2017,FEMENINO,66
21/06/2017,MASCULINO,6
22/06/2017,FEMENINO,59
22/06/2017,MASCULINO,7
23/06/2017,FEMENINO,63
23/06/2017,MASCULINO,18
24/06/2017,FEMENINO,66
24/06/2017,MASCULINO,6
25/06/2017,FEMENINO,69
25/06/2017,MASCULINO,6
26/06/2017,FEMENINO,54
26/06/2017,MASCULINO,6
27/06/2017,FEMENINO,68
27/06/2017,MASCULINO,12
28/06/2017,FEMENINO,61
28/06/2017,MASCULINO,9
29/06/2017,FEMENINO,63
29/06/2017,MASCULINO,13
30/06/2017,FEMENINO,69
30/06/2017,MASCULINO,9
01/07/2017,FEMENINO,122
01/07/2017,MASCULINO,15
02/07/2017,FEMENINO,74
02/07/2017,MASCULINO,14
03/07/2017,FEMENINO,70
03/07/2017,MASCULINO,10
04/07/2017,FEMENINO,76
04/07/2017,MASCULINO,5
05/07/2017,FEMENINO,72
05/07/2017,MASCULINO,17
06/07/2017,FEMENINO,64
06/07/2017,MASCULINO,10
07/07/2017,FEMENINO,96
07/07/2017,MASCULINO,13
08/07/2017,FEMENINO,60
08/07/2017,MASCULINO,6
09/07/2017,FEMENINO,61
09/07/2017,MASCULINO,9
10/07/2017,FEMENINO,96
10/07/2017,MASCULINO,12
11/07/2017,-,1
11/07/2017,FEMENINO,89
11/07/2017,MASCULINO,15
12/07/2017,FEMENINO,79
12/07/2017,MASCULINO,6
13/07/2017,FEMENINO,64
13/07/2017,MASCULINO,15
14/07/2017,FEMENINO,87
14/07/2017,MASCULINO,7
15/07/2017,FEMENINO,81
15/07/2017,MASCULINO,14
16/07/2017,FEMENINO,89
16/07/2017,MASCULINO,1
17/07/2017,FEMENINO,83
17/07/2017,MASCULINO,11
18/07/2017,FEMENINO,72
18/07/2017,MASCULINO,8
19/07/2017,-,1
19/07/2017,FEMENINO,94
19/07/2017,MASCULINO,15
20/07/2017,FEMENINO,64
20/07/2017,MASCULINO,11
21/07/2017,FEMENINO,70
21/07/2017,MASCULINO,6
22/07/2017,FEMENINO,63
22/07/2017,MASCULINO,11
23/07/2017,FEMENINO,52
23/07/2017,MASCULINO,8
24/07/2017,FEMENINO,80
24/07/2017,MASCULINO,9
25/07/2017,FEMENINO,90
25/07/2017,MASCULINO,14
26/07/2017,FEMENINO,80
26/07/2017,MASCULINO,11
27/07/2017,FEMENINO,81
27/07/2017,MASCULINO,12
28/07/2017,FEMENINO,82
28/07/2017,MASCULINO,9
29/07/2017,FEMENINO,57
29/07/2017,MASCULINO,6
30/07/2017,FEMENINO,71
30/07/2017,MASCULINO,10
31/07/2017,FEMENINO,79
31/07/2017,MASCULINO,12
01/08/2017,FEMENINO,169
01/08/2017,MASCULINO,21
02/08/2017,FEMENINO,85
02/08/2017,MASCULINO,8
03/08/2017,FEMENINO,73
03/08/2017,MASCULINO,8
04/08/2017,FEMENINO,98
04/08/2017,MASCULINO,8
05/08/2017,FEMENINO,64
05/08/2017,MASCULINO,5
06/08/2017,FEMENINO,55
06/08/2017,MASCULINO,11
07/08/2017,FEMENINO,56
07/08/2017,MASCULINO,5
08/08/2017,FEMENINO,92
08/08/2017,MASCULINO,14
09/08/2017,FEMENINO,77
09/08/2017,MASCULINO,18
10/08/2017,FEMENINO,100
10/08/2017,MASCULINO,10
11/08/2017,FEMENINO,77
11/08/2017,MASCULINO,15
12/08/2017,FEMENINO,68
12/08/2017,MASCULINO,9
13/08/2017,FEMENINO,62
13/08/2017,MASCULINO,11
14/08/2017,FEMENINO,97
14/08/2017,MASCULINO,17
15/08/2017,FEMENINO,112
15/08/2017,MASCULINO,21
16/08/2017,FEMENINO,79
16/08/2017,MASCULINO,12
17/08/2017,FEMENINO,86
17/08/2017,MASCULINO,10
18/08/2017,FEMENINO,104
18/08/2017,MASCULINO,15
19/08/2017,FEMENINO,56
19/08/2017,MASCULINO,10
20/08/2017,FEMENINO,64
20/08/2017,MASCULINO,16
21/08/2017,FEMENINO,65
21/08/2017,MASCULINO,7
22/08/2017,FEMENINO,101
22/08/2017,MASCULINO,10
23/08/2017,-,1
23/08/2017,FEMENINO,99
23/08/2017,MASCULINO,23
24/08/2017,FEMENINO,95
24/08/2017,MASCULINO,20
25/08/2017,FEMENINO,78
25/08/2017,MASCULINO,13
26/08/2017,FEMENINO,44
26/08/2017,MASCULINO,12
27/08/2017,FEMENINO,63
27/08/2017,MASCULINO,9
28/08/2017,FEMENINO,76
28/08/2017,MASCULINO,24
29/08/2017,FEMENINO,65
29/08/2017,MASCULINO,21
30/08/2017,FEMENINO,82
30/08/2017,MASCULINO,14
31/08/2017,-,2
31/08/2017,FEMENINO,78
31/08/2017,MASCULINO,14
01/09/2017,FEMENINO,148
01/09/2017,MASCULINO,23
02/09/2017,FEMENINO,56
02/09/2017,MASCULINO,9
03/09/2017,-,1
03/09/2017,FEMENINO,75
03/09/2017,MASCULINO,8
04/09/2017,FEMENINO,79
04/09/2017,MASCULINO,8
05/09/2017,FEMENINO,96
05/09/2017,MASCULINO,24
06/09/2017,FEMENINO,93
06/09/2017,MASCULINO,18
07/09/2017,FEMENINO,82
07/09/2017,MASCULINO,8
08/09/2017,FEMENINO,101
08/09/2017,MASCULINO,11
09/09/2017,FEMENINO,60
09/09/2017,MASCULINO,10
10/09/2017,FEMENINO,54
10/09/2017,MASCULINO,11
11/09/2017,FEMENINO,62
11/09/2017,MASCULINO,7
12/09/2017,FEMENINO,80
12/09/2017,MASCULINO,10
13/09/2017,FEMENINO,66
13/09/2017,MASCULINO,13
14/09/2017,FEMENINO,94
14/09/2017,MASCULINO,14
15/09/2017,FEMENINO,116
15/09/2017,MASCULINO,13
16/09/2017,FEMENINO,81
16/09/2017,MASCULINO,8
17/09/2017,FEMENINO,85
17/09/2017,MASCULINO,13
18/09/2017,FEMENINO,95
18/09/2017,MASCULINO,12
19/09/2017,FEMENINO,99
19/09/2017,MASCULINO,8
20/09/2017,FEMENINO,97
20/09/2017,MASCULINO,17
21/09/2017,FEMENINO,97
21/09/2017,MASCULINO,11
22/09/2017,FEMENINO,82
22/09/2017,MASCULINO,11
23/09/2017,FEMENINO,52
23/09/2017,MASCULINO,6
24/09/2017,FEMENINO,73
24/09/2017,MASCULINO,10
25/09/2017,-,1
25/09/2017,FEMENINO,88
25/09/2017,MASCULINO,9
26/09/2017,FEMENINO,72
26/09/2017,MASCULINO,9
27/09/2017,FEMENINO,74
27/09/2017,MASCULINO,4
28/09/2017,FEMENINO,86
28/09/2017,MASCULINO,10
29/09/2017,-,2
29/09/2017,FEMENINO,67
29/09/2017,MASCULINO,15
30/09/2017,-,1
30/09/2017,FEMENINO,60
30/09/2017,MASCULINO,9
01/10/2017,FEMENINO,121
01/10/2017,MASCULINO,15
02/10/2017,-,1
02/10/2017,FEMENINO,101
02/10/2017,MASCULINO,23
03/10/2017,FEMENINO,78
03/10/2017,MASCULINO,13
04/10/2017,FEMENINO,82
04/10/2017,MASCULINO,12
05/10/2017,FEMENINO,71
05/10/2017,MASCULINO,11
06/10/2017,-,2
06/10/2017,FEMENINO,60
06/10/2017,MASCULINO,10
07/10/2017,FEMENINO,68
07/10/2017,MASCULINO,12
08/10/2017,FEMENINO,63
08/10/2017,MASCULINO,6
09/10/2017,FEMENINO,90
09/10/2017,MASCULINO,11
10/10/2017,FEMENINO,113
10/10/2017,MASCULINO,16
11/10/2017,FEMENINO,65
11/10/2017,MASCULINO,9
12/10/2017,FEMENINO,66
12/10/2017,MASCULINO,16
13/10/2017,FEMENINO,73
13/10/2017,MASCULINO,9
14/10/2017,FEMENINO,52
14/10/2017,MASCULINO,6
15/10/2017,-,1
15/10/2017,FEMENINO,87
15/10/2017,MASCULINO,18
16/10/2017,FEMENINO,58
16/10/2017,MASCULINO,7
17/10/2017,FEMENINO,92
17/10/2017,MASCULINO,16
18/10/2017,FEMENINO,71
18/10/2017,MASCULINO,8
19/10/2017,FEMENINO,68
19/10/2017,MASCULINO,7
20/10/2017,-,1
20/10/2017,FEMENINO,94
20/10/2017,MASCULINO,20
21/10/2017,FEMENINO,54
21/10/2017,MASCULINO,6
22/10/2017,FEMENINO,62
22/10/2017,MASCULINO,6
23/10/2017,FEMENINO,71
23/10/2017,MASCULINO,13
24/10/2017,FEMENINO,72
24/10/2017,MASCULINO,8
25/10/2017,-,1
25/10/2017,FEMENINO,61
25/10/2017,MASCULINO,14
26/10/2017,FEMENINO,44
26/10/2017,MASCULINO,6
27/10/2017,FEMENINO,62
27/10/2017,MASCULINO,7
28/10/2017,FEMENINO,51
28/10/2017,MASCULINO,6
29/10/2017,FEMENINO,32
29/10/2017,MASCULINO,3
30/10/2017,FEMENINO,36
30/10/2017,MASCULINO,4
31/10/2017,-,1
31/10/2017,FEMENINO,57
31/10/2017,MASCULINO,7
01/11/2017,-,1
01/11/2017,FEMENINO,90
01/11/2017,MASCULINO,18
02/11/2017,FEMENINO,77
02/11/2017,MASCULINO,14
03/11/2017,FEMENINO,59
03/11/2017,MASCULINO,17
04/11/2017,FEMENINO,52
04/11/2017,MASCULINO,11
05/11/2017,FEMENINO,66
05/11/2017,MASCULINO,16
06/11/2017,FEMENINO,45
06/11/2017,MASCULINO,8
07/11/2017,FEMENINO,84
07/11/2017,MASCULINO,8
08/11/2017,FEMENINO,64
08/11/2017,MASCULINO,12
09/11/2017,-,1
09/11/2017,FEMENINO,86
09/11/2017,MASCULINO,10
10/11/2017,FEMENINO,83
10/11/2017,MASCULINO,15
11/11/2017,FEMENINO,52
11/11/2017,MASCULINO,10
12/11/2017,FEMENINO,59
12/11/2017,MASCULINO,6
13/11/2017,FEMENINO,50
13/11/2017,MASCULINO,12
14/11/2017,-,1
14/11/2017,FEMENINO,92
14/11/2017,MASCULINO,10
15/11/2017,-,1
15/11/2017,FEMENINO,80
15/11/2017,MASCULINO,19
16/11/2017,FEMENINO,66
16/11/2017,MASCULINO,15
17/11/2017,FEMENINO,89
17/11/2017,MASCULINO,20
18/11/2017,FEMENINO,57
18/11/2017,MASCULINO,9
19/11/2017,FEMENINO,58
19/11/2017,MASCULINO,4
20/11/2017,FEMENINO,88
20/11/2017,MASCULINO,12
21/11/2017,FEMENINO,87
21/11/2017,MASCULINO,8
22/11/2017,FEMENINO,73
22/11/2017,MASCULINO,20
23/11/2017,FEMENINO,79
23/11/2017,MASCULINO,6
24/11/2017,FEMENINO,83
24/11/2017,MASCULINO,6
25/11/2017,FEMENINO,54
25/11/2017,MASCULINO,4
26/11/2017,FEMENINO,71
26/11/2017,MASCULINO,6
27/11/2017,FEMENINO,86
27/11/2017,MASCULINO,10
28/11/2017,FEMENINO,85
28/11/2017,MASCULINO,14
29/11/2017,FEMENINO,79
29/11/2017,MASCULINO,10
30/11/2017,FEMENINO,49
30/11/2017,MASCULINO,7
01/12/2017,FEMENINO,78
01/12/2017,MASCULINO,22
02/12/2017,FEMENINO,67
02/12/2017,MASCULINO,6
03/12/2017,FEMENINO,79
03/12/2017,MASCULINO,11
04/12/2017,FEMENINO,67
04/12/2017,MASCULINO,16
05/12/2017,FEMENINO,61
05/12/2017,MASCULINO,15
06/12/2017,FEMENINO,58
06/12/2017,MASCULINO,9
07/12/2017,FEMENINO,48
07/12/2017,MASCULINO,14
08/12/2017,FEMENINO,65
08/12/2017,MASCULINO,10
09/12/2017,FEMENINO,59
09/12/2017,MASCULINO,4
10/12/2017,FEMENINO,47
10/12/2017,MASCULINO,13
11/12/2017,FEMENINO,62
11/12/2017,MASCULINO,7
12/12/2017,FEMENINO,58
12/12/2017,MASCULINO,12
13/12/2017,FEMENINO,53
13/12/2017,MASCULINO,8
14/12/2017,FEMENINO,59
14/12/2017,MASCULINO,16
15/12/2017,FEMENINO,58
15/12/2017,MASCULINO,1
16/12/2017,FEMENINO,36
16/12/2017,MASCULINO,5
17/12/2017,FEMENINO,53
17/12/2017,MASCULINO,9
18/12/2017,FEMENINO,42
18/12/2017,MASCULINO,8
19/12/2017,FEMENINO,27
19/12/2017,MASCULINO,3
20/12/2017,FEMENINO,24
20/12/2017,MASCULINO,5
21/12/2017,FEMENINO,32
21/12/2017,MASCULINO,8
22/12/2017,FEMENINO,37
22/12/2017,MASCULINO,3
23/12/2017,FEMENINO,14
23/12/2017,MASCULINO,2
24/12/2017,FEMENINO,33
24/12/2017,MASCULINO,6
25/12/2017,FEMENINO,29
25/12/2017,MASCULINO,6
26/12/2017,FEMENINO,30
26/12/2017,MASCULINO,4
27/12/2017,FEMENINO,23
27/12/2017,MASCULINO,3
28/12/2017,FEMENINO,33
28/12/2017,MASCULINO,3
29/12/2017,FEMENINO,31
29/12/2017,MASCULINO,4
30/12/2017,FEMENINO,18
30/12/2017,MASCULINO,3
31/12/2017,FEMENINO,36
31/12/2017,MASCULINO,4
01/01/2018,FEMENINO,151
01/01/2018,MASCULINO,24
02/01/2018,FEMENINO,53
02/01/2018,MASCULINO,4
03/01/2018,FEMENINO,50
03/01/2018,MASCULINO,15
04/01/2018,FEMENINO,46
04/01/2018,MASCULINO,7
05/01/2018,FEMENINO,52
05/01/2018,MASCULINO,8
06/01/2018,FEMENINO,60
06/01/2018,MASCULINO,8
07/01/2018,FEMENINO,50
07/01/2018,MASCULINO,6
08/01/2018,FEMENINO,39
08/01/2018,MASCULINO,9
09/01/2018,FEMENINO,52
09/01/2018,MASCULINO,11
10/01/2018,FEMENINO,67
10/01/2018,MASCULINO,6
11/01/2018,FEMENINO,60
11/01/2018,MASCULINO,13
12/01/2018,FEMENINO,51
12/01/2018,MASCULINO,10
13/01/2018,FEMENINO,60
13/01/2018,MASCULINO,11
14/01/2018,FEMENINO,47
14/01/2018,MASCULINO,12
15/01/2018,FEMENINO,83
15/01/2018,MASCULINO,12
16/01/2018,FEMENINO,59
16/01/2018,MASCULINO,9
17/01/2018,FEMENINO,68
17/01/2018,MASCULINO,19
18/01/2018,-,1
18/01/2018,FEMENINO,62
18/01/2018,MASCULINO,4
19/01/2018,FEMENINO,52
19/01/2018,MASCULINO,14
20/01/2018,-,1
20/01/2018,FEMENINO,64
20/01/2018,MASCULINO,9
21/01/2018,FEMENINO,43
21/01/2018,MASCULINO,5
22/01/2018,FEMENINO,63
22/01/2018,MASCULINO,13
23/01/2018,FEMENINO,49
23/01/2018,MASCULINO,8
24/01/2018,FEMENINO,67
24/01/2018,MASCULINO,11
25/01/2018,FEMENINO,64
25/01/2018,MASCULINO,12
26/01/2018,FEMENINO,60
26/01/2018,MASCULINO,8
27/01/2018,FEMENINO,42
27/01/2018,MASCULINO,10
28/01/2018,FEMENINO,48
28/01/2018,MASCULINO,4
29/01/2018,FEMENINO,47
29/01/2018,MASCULINO,10
30/01/2018,FEMENINO,52
30/01/2018,MASCULINO,10
31/01/2018,FEMENINO,47
31/01/2018,MASCULINO,4
01/02/2018,FEMENINO,71
01/02/2018,MASCULINO,6
02/02/2018,FEMENINO,46
02/02/2018,MASCULINO,11
03/02/2018,FEMENINO,30
03/02/2018,MASCULINO,8
04/02/2018,FEMENINO,36
04/02/2018,MASCULINO,8
05/02/2018,-,1
05/02/2018,FEMENINO,44
05/02/2018,MASCULINO,8
06/02/2018,FEMENINO,57
06/02/2018,MASCULINO,7
07/02/2018,FEMENINO,37
07/02/2018,MASCULINO,6
08/02/2018,FEMENINO,29
08/02/2018,MASCULINO,7
09/02/2018,FEMENINO,47
09/02/2018,MASCULINO,13
10/02/2018,FEMENINO,36
10/02/2018,MASCULINO,5
11/02/2018,FEMENINO,30
11/02/2018,MASCULINO,5
12/02/2018,FEMENINO,41
12/02/2018,MASCULINO,2
13/02/2018,FEMENINO,38
13/02/2018,MASCULINO,6
14/02/2018,FEMENINO,41
14/02/2018,MASCULINO,6
15/02/2018,FEMENINO,47
15/02/2018,MASCULINO,7
16/02/2018,-,1
16/02/2018,FEMENINO,46
16/02/2018,MASCULINO,4
17/02/2018,FEMENINO,29
17/02/2018,MASCULINO,6
18/02/2018,FEMENINO,36
18/02/2018,MASCULINO,8
19/02/2018,FEMENINO,52
19/02/2018,MASCULINO,6
20/02/2018,FEMENINO,62
20/02/2018,MASCULINO,8
21/02/2018,FEMENINO,54
21/02/2018,MASCULINO,5
22/02/2018,FEMENINO,67
22/02/2018,MASCULINO,11
23/02/2018,FEMENINO,70
23/02/2018,MASCULINO,12
24/02/2018,FEMENINO,50
24/02/2018,MASCULINO,12
25/02/2018,FEMENINO,50
25/02/2018,MASCULINO,8
26/02/2018,FEMENINO,66
26/02/2018,MASCULINO,9
27/02/2018,-,1
27/02/2018,FEMENINO,58
27/02/2018,MASCULINO,6
28/02/2018,FEMENINO,58
28/02/2018,MASCULINO,9
01/03/2018,FEMENINO,78
01/03/2018,MASCULINO,18
02/03/2018,FEMENINO,60
