Fecha,CantidadTotal
21/12/2017,27
22/12/2017,40
23/12/2017,36
24/12/2017,70
25/12/2017,62
26/12/2017,27
27/12/2017,24
28/12/2017,35
29/12/2017,43
30/12/2017,33
31/12/2017,55
01/01/2018,82
02/01/2018,36
03/01/2018,22
04/01/2018,32
05/01/2018,19
06/01/2018,37
07/01/2018,29
08/01/2018,24
09/01/2018,21
10/01/2018,20
11/01/2018,31
12/01/2018,27
13/01/2018,45
14/01/2018,44
15/01/2018,40
16/01/2018,33
17/01/2018,28
18/01/2018,30
19/01/2018,39
20/01/2018,46
21/01/2018,64
22/01/2018,37
23/01/2018,33
24/01/2018,33
25/01/2018,31
26/01/2018,29
27/01/2018,47
28/01/2018,53
29/01/2018,27
30/01/2018,38
31/01/2018,32
01/02/2018,24
02/02/2018,30
03/02/2018,37
04/02/2018,55
05/02/2018,28
06/02/2018,34
07/02/2018,36
08/02/2018,29
09/02/2018,35
10/02/2018,43
11/02/2018,63
12/02/2018,34
13/02/2018,25
14/02/2018,25
15/02/2018,19
16/02/2018,34
17/02/2018,32
18/02/2018,42
19/02/2018,28
20/02/2018,27
21/02/2018,32
22/02/2018,19
23/02/2018,32
24/02/2018,30
25/02/2018,49
26/02/2018,35
27/02/2018,31
28/02/2018,37
01/03/2018,37
02/03/2018,26
03/03/2018,35
04/03/2018,47
05/03/2018,34
06/03/2018,30
07/03/2018,38
08/03/2018,24
09/03/2018,27
10/03/2018,30
11/03/2018,30
12/03/2018,29
13/03/2018,20
14/03/2018,33
15/03/2018,35
16/03/2018,54
17/03/2018,44
18/03/2018,64
19/03/2018,26
20/03/2018,31
21/03/2018,38
22/03/2018,23
23/03/2018,29
24/03/2018,44
25/03/2018,63
26/03/2018,47
27/03/2018,37
28/03/2018,32
29/03/2018,34
30/03/2018,24
31/03/2018,27
01/04/2018,32
02/04/2018,37
03/04/2018,26
04/04/2018,33
05/04/2018,30
06/04/2018,32
07/04/2018,40
08/04/2018,68
09/04/2018,34
10/04/2018,32
11/04/2018,32
12/04/2018,33
13/04/2018,26
14/04/2018,52
15/04/2018,60
16/04/2018,34
17/04/2018,40
18/04/2018,28
19/04/2018,23
20/04/2018,36
21/04/2018,35
22/04/2018,78
23/04/2018,31
24/04/2018,26
25/04/2018,38
26/04/2018,30
27/04/2018,33
28/04/2018,41
29/04/2018,41
30/04/2018,31
01/05/2018,19
02/05/2018,33
03/05/2018,37
04/05/2018,29
05/05/2018,29
06/05/2018,49
07/05/2018,30
08/05/2018,24
09/05/2018,25
10/05/2018,24
11/05/2018,28
12/05/2018,39
13/05/2018,56
14/05/2018,44
15/05/2018,27
16/05/2018,32
17/05/2018,30
18/05/2018,22
19/05/2018,47
20/05/2018,53
21/05/2018,40
22/05/2018,20
23/05/2018,31
24/05/2018,21
25/05/2018,17
26/05/2018,33
27/05/2018,31
28/05/2018,29
29/05/2018,30
30/05/2018,28
31/05/2018,34
01/06/2018,30
02/06/2018,41
03/06/2018,62
04/06/2018,26
05/06/2018,27
06/06/2018,32
07/06/2018,20
08/06/2018,23
09/06/2018,53
10/06/2018,39
11/06/2018,44
12/06/2018,22
13/06/2018,30
14/06/2018,33
15/06/2018,31
16/06/2018,29
17/06/2018,22
18/06/2018,29
19/06/2018,21
20/06/2018,33
21/06/2018,33
22/06/2018,36
23/06/2018,38
24/06/2018,54
25/06/2018,31
26/06/2018,25
27/06/2018,18
28/06/2018,17
29/06/2018,23
30/06/2018,26
01/07/2018,48
02/07/2018,28
03/07/2018,39
04/07/2018,26
05/07/2018,25
06/07/2018,21
07/07/2018,35
08/07/2018,7
