Fecha de la Plenaria,Nombre del Senador,Resultado
01/30/2017,Enríquez Rosero Manuel Mesías,No
01/30/2017,Galán Pachón Juan Manuel,No
01/30/2017,Galvis Méndez Daira,No
01/30/2017,García Realpe Guillermo,No
01/30/2017,Gerlein Echeverría Roberto,No
01/30/2017,Guerra de la Espriella Antonio del Cristo,No
01/30/2017,López Maya Alexánder,No
01/30/2017,Mora Jaramillo Manuel Guillermo,No
01/30/2017,Name Cardozo José David,No
01/30/2017,Pedraza Gutiérrez Jorge Hernando,No
01/30/2017,Restrepo Escobar Juan Carlos,No
01/30/2017,Robledo Castillo Jorge Enrique,No
01/30/2017,Rodríguez Sarmiento Milton Arlex,No
01/30/2017,Sierra Grajales Luis Emilio,No
01/30/2017,Velasco Chaves  Luis Fernando,No
01/30/2017,Aguilar Hurtado Nerthink Mauricio,No
01/30/2017,Avirama Avirama Marco Aníbal,No
01/30/2017,Barreras Montealegre Roy Leonardo,No
01/30/2017,Besaile Fayad Musa,No
01/30/2017,Elías Vidal Bernardo Miguel,No
01/30/2017,Hoyos Giraldo Germán Darío,No
01/30/2017,Lizcano Arango Oscar Mauricio,No
01/30/2017,Martínez Aristizábal Maritza,No
01/30/2017,García Burgos Nora María,No
01/30/2017,Merheg Marun Juan Samy,No
01/30/2017,Paredes Aguirre Myriam Alicia,No
01/30/2017,Suárez Mira Olga Lucía,No
01/30/2017,Tamayo Tamayo Fernando Eustacio,No
01/30/2017,Casado de López Arleth Patricia,No
01/30/2017,Delgado Ruiz Édinson,No
01/30/2017,Durán Barrera Jaime Enrique,No
01/30/2017,García Turbay Lidio,No
01/30/2017,Santos Marín Guillermo Antonio,No
01/30/2017,Villalba Mosquera Rodrigo,No
01/30/2017,Correa Jiménez Antonio José,No
01/30/2017,García Romero Teresita,No
01/30/2017,Guerra Sotto Julio Miguel,No
01/30/2017,Motoa Solarte Carlos Fernando,No
01/30/2017,Name Iván Leonidas,No
01/30/2017,Vega Quiroz Doris Clemencia,No
01/30/2017,Andrade Casamá Luis Evelis,No
01/30/2017,Castilla Salazar Jesús Alberto,No
01/30/2017,Cepeda Castro Iván,No
01/30/2017,Niño Avendaño Senén Segundo,No
01/30/2017,López Hernández Claudia Nayibe,No
01/30/2017,Navarro Wolff Antonio José,No
01/30/2017,Ospina Gómez Jorge Iván,No
01/30/2017,Prieto Riveros Jorge Eliécer,No
01/30/2017,Dusan Albin Velez Trujillo,No
01/30/2017,Martínez Rosales Rosmery,No
01/30/2017,Varón Cotrino Germán,No
01/30/2017,Alvarez Montenegro Javier Tato,No
01/30/2017,Cristo Bustos Andrés,No
01/30/2017,Fernández Alcocer Mario Alberto,No
01/30/2017,Gaviria Correa Sofía Alejandra,No
01/30/2017,Morales Hoyos Viviane,No
01/30/2017,Serpa Uribe Horacio,No
01/30/2017,Acuña  Díaz Laureano Augusto,No
01/30/2017,Blel Scaf Nadya Georgette,No
01/30/2017,Delgado Martínez Javier Mauricio,No
01/30/2017,Gómez Jiménez Juan Diego,No
01/30/2017,Osorio  Salgado Nidia Marcela,No
01/30/2017,Pestana Rojas Yamina del Carmen,No
01/30/2017,Araújo Rumié Fernando Nicolás,No
01/30/2017,Bustamante García Everth,No
01/30/2017,Cabrales Castillo Daniel  Alberto,No
01/30/2017,Castañeda Serrano Orlando,No
01/30/2017,Correa  Borrero Susana,No
01/30/2017,Duque Márquez Iván,No
01/30/2017,Gaviria Vélez José  Obdulio,No
01/30/2017,Baron Neira Leon Rigoberto,No
01/30/2017,Holguín Moreno Paola  Andrea,No
01/30/2017,Macías Tovar Ernesto,No
01/30/2017,Mejía Mejía Carlos  Felipe,No
01/30/2017,Ramos Maya Alfredo,No
01/30/2017,Rangel  Suárez Alfredo,No
01/30/2017,Tovar Rey Nohora  Stella,No
01/30/2017,Uribe Vélez Álvaro,No
01/30/2017,Valencia  Laserna Paloma,No
01/30/2017,Guerra  de la Espriella Maria del Rosario,No
01/30/2017,Amín Hernández Jaime Alejandro,No
01/30/2017,Henríquez Pinedo Honorio Miguel,No
01/30/2017,Amín Escaf Miguel,No
01/30/2017,Cabrera Báez Ángel Custodio,No
01/30/2017,Chamorro  Cruz William Jimmy,No
01/30/2017,García Zuccardi Andrés,No
01/30/2017,Gnecco Zuleta José  Alfredo,No
01/30/2017,Pulgar Daza Eduardo Enrique,No
01/30/2017,Villadiego Villadiego Sandra  Elena,No
01/30/2017,Rodríguez Rengifo Roosvelt,No
02/03/2017,Vega  de Plazas Ruby Thania,No
02/03/2017,Andrade Serrano Hernán Francisco,No
02/03/2017,Asthon Giraldo Álvaro Antonio,No
02/03/2017,Benedetti Villaneda Armando Alberto,No
02/03/2017,Celis Carrillo Bernabé,No
02/03/2017,Cepeda Sarabia Efraín José,No
02/03/2017,Corzo Román Juan Manuel,No
02/03/2017,Char Chaljub Arturo,No
02/03/2017,Duque Garcia Luis Fernando,No
02/03/2017,Enríquez Maya Carlos Eduardo,No
02/03/2017,Enríquez Rosero Manuel Mesías,No
02/03/2017,Galán Pachón Juan Manuel,No
02/03/2017,Galvis Méndez Daira,No
02/03/2017,García Realpe Guillermo,No
02/03/2017,Gerlein Echeverría Roberto,No
02/03/2017,Guerra de la Espriella Antonio del Cristo,No
02/03/2017,López Maya Alexánder,No
02/03/2017,Mora Jaramillo Manuel Guillermo,No
02/03/2017,Name Cardozo José David,No
02/03/2017,Pedraza Gutiérrez Jorge Hernando,No
02/03/2017,Restrepo Escobar Juan Carlos,No
02/03/2017,Robledo Castillo Jorge Enrique,No
02/03/2017,Rodríguez Sarmiento Milton Arlex,No
02/03/2017,Sierra Grajales Luis Emilio,No
02/03/2017,Velasco Chaves  Luis Fernando,No
02/03/2017,Aguilar Hurtado Nerthink Mauricio,No
02/03/2017,Avirama Avirama Marco Aníbal,No
02/03/2017,Barreras Montealegre Roy Leonardo,No
02/03/2017,Besaile Fayad Musa,No
02/03/2017,Elías Vidal Bernardo Miguel,No
02/03/2017,Hoyos Giraldo Germán Darío,No
02/03/2017,Lizcano Arango Oscar Mauricio,No
02/03/2017,Martínez Aristizábal Maritza,No
02/03/2017,García Burgos Nora María,No
02/03/2017,Merheg Marun Juan Samy,No
02/03/2017,Paredes Aguirre Myriam Alicia,No
02/03/2017,Suárez Mira Olga Lucía,No
02/03/2017,Tamayo Tamayo Fernando Eustacio,No
02/03/2017,Casado de López Arleth Patricia,No
02/03/2017,Delgado Ruiz Édinson,No
02/03/2017,Durán Barrera Jaime Enrique,No
02/03/2017,García Turbay Lidio,No
02/03/2017,Santos Marín Guillermo Antonio,No
02/03/2017,Villalba Mosquera Rodrigo,No
02/03/2017,Correa Jiménez Antonio José,No
02/03/2017,García Romero Teresita,No
02/03/2017,Guerra Sotto Julio Miguel,No
02/03/2017,Motoa Solarte Carlos Fernando,No
02/03/2017,Name Iván Leonidas,No
02/03/2017,Vega Quiroz Doris Clemencia,No
02/03/2017,Andrade Casamá Luis Evelis,No
02/03/2017,Castilla Salazar Jesús Alberto,No
02/03/2017,Cepeda Castro Iván,No
02/03/2017,Niño Avendaño Senén Segundo,No
02/03/2017,López Hernández Claudia Nayibe,No
02/03/2017,Navarro Wolff Antonio José,No
02/03/2017,Ospina Gómez Jorge Iván,No
02/03/2017,Prieto Riveros Jorge Eliécer,No
02/03/2017,Dusan Albin Velez Trujillo,No
02/03/2017,Martínez Rosales Rosmery,No
02/03/2017,Varón Cotrino Germán,No
02/03/2017,Alvarez Montenegro Javier Tato,No
02/03/2017,Cristo Bustos Andrés,No
02/03/2017,Fernández Alcocer Mario Alberto,No
02/03/2017,Gaviria Correa Sofía Alejandra,No
02/03/2017,Morales Hoyos Viviane,No
02/03/2017,Serpa Uribe Horacio,No
02/03/2017,Acuña  Díaz Laureano Augusto,No
02/03/2017,Blel Scaf Nadya Georgette,No
02/03/2017,Delgado Martínez Javier Mauricio,No
02/03/2017,Gómez Jiménez Juan Diego,No
02/03/2017,Osorio  Salgado Nidia Marcela,No
02/03/2017,Pestana Rojas Yamina del Carmen,No
02/03/2017,Araújo Rumié Fernando Nicolás,No
02/03/2017,Bustamante García Everth,No
02/03/2017,Cabrales Castillo Daniel  Alberto,No
02/03/2017,Castañeda Serrano Orlando,No
02/03/2017,Correa  Borrero Susana,No
02/03/2017,Duque Márquez Iván,No
02/03/2017,Gaviria Vélez José  Obdulio,No
02/03/2017,Baron Neira Leon Rigoberto,No
02/03/2017,Holguín Moreno Paola  Andrea,No
02/03/2017,Macías Tovar Ernesto,No
02/03/2017,Mejía Mejía Carlos  Felipe,No
02/03/2017,Ramos Maya Alfredo,No
02/03/2017,Rangel  Suárez Alfredo,No
02/03/2017,Tovar Rey Nohora  Stella,No
02/03/2017,Uribe Vélez Álvaro,No
02/03/2017,Valencia  Laserna Paloma,No
02/03/2017,Guerra  de la Espriella Maria del Rosario,No
02/03/2017,Amín Hernández Jaime Alejandro,No
02/03/2017,Henríquez Pinedo Honorio Miguel,No
02/03/2017,Amín Escaf Miguel,No
02/03/2017,Cabrera Báez Ángel Custodio,No
02/03/2017,Chamorro  Cruz William Jimmy,No
02/03/2017,García Zuccardi Andrés,No
02/03/2017,Gnecco Zuleta José  Alfredo,No
02/03/2017,Pulgar Daza Eduardo Enrique,No
02/03/2017,Villadiego Villadiego Sandra  Elena,No
02/03/2017,Rodríguez Rengifo Roosvelt,No
02/08/2017,Vega  de Plazas Ruby Thania,Si
02/08/2017,Andrade Serrano Hernán Francisco,No
02/08/2017,Asthon Giraldo Álvaro Antonio,No
02/08/2017,Benedetti Villaneda Armando Alberto,No
02/08/2017,Celis Carrillo Bernabé,No
02/08/2017,Cepeda Sarabia Efraín José,Si
02/08/2017,Corzo Román Juan Manuel,No
02/08/2017,Char Chaljub Arturo,No
02/08/2017,Duque Garcia Luis Fernando,No
02/08/2017,Enríquez Maya Carlos Eduardo,Si
02/08/2017,Enríquez Rosero Manuel Mesías,Si
02/08/2017,Galán Pachón Juan Manuel,No
02/08/2017,Galvis Méndez Daira,No
02/08/2017,García Realpe Guillermo,No
02/08/2017,Gerlein Echeverría Roberto,No
02/08/2017,Guerra de la Espriella Antonio del Cristo,No
02/08/2017,López Maya Alexánder,Si
02/08/2017,Mora Jaramillo Manuel Guillermo,No
02/08/2017,Name Cardozo José David,No
02/08/2017,Pedraza Gutiérrez Jorge Hernando,No
02/08/2017,Restrepo Escobar Juan Carlos,Si
02/08/2017,Robledo Castillo Jorge Enrique,No
02/08/2017,Rodríguez Sarmiento Milton Arlex,Si
02/08/2017,Sierra Grajales Luis Emilio,No
02/08/2017,Velasco Chaves  Luis Fernando,No
02/08/2017,Aguilar Hurtado Nerthink Mauricio,No
02/08/2017,Avirama Avirama Marco Aníbal,Si
02/08/2017,Barreras Montealegre Roy Leonardo,No
02/08/2017,Besaile Fayad Musa,No
02/08/2017,Elías Vidal Bernardo Miguel,No
02/08/2017,Hoyos Giraldo Germán Darío,Si
02/08/2017,Lizcano Arango Oscar Mauricio,No
02/08/2017,Martínez Aristizábal Maritza,Si
02/08/2017,García Burgos Nora María,Si
02/08/2017,Merheg Marun Juan Samy,Si
02/08/2017,Paredes Aguirre Myriam Alicia,Si
02/08/2017,Suárez Mira Olga Lucía,No
02/08/2017,Tamayo Tamayo Fernando Eustacio,No
02/08/2017,Casado de López Arleth Patricia,No
02/08/2017,Delgado Ruiz Édinson,No
02/08/2017,Durán Barrera Jaime Enrique,No
02/08/2017,García Turbay Lidio,No
02/08/2017,Santos Marín Guillermo Antonio,No
02/08/2017,Villalba Mosquera Rodrigo,Si
02/08/2017,Correa Jiménez Antonio José,No
02/08/2017,García Romero Teresita,No
02/08/2017,Guerra Sotto Julio Miguel,No
02/08/2017,Motoa Solarte Carlos Fernando,Si
02/08/2017,Name Iván Leonidas,No
02/08/2017,Vega Quiroz Doris Clemencia,Si
02/08/2017,Andrade Casamá Luis Evelis,Si
02/08/2017,Castilla Salazar Jesús Alberto,No
02/08/2017,Cepeda Castro Iván,Si
02/08/2017,Niño Avendaño Senén Segundo,Si
02/08/2017,López Hernández Claudia Nayibe,Si
02/08/2017,Navarro Wolff Antonio José,Si
02/08/2017,Ospina Gómez Jorge Iván,Si
02/08/2017,Prieto Riveros Jorge Eliécer,No
02/08/2017,Dusan Albin Velez Trujillo,Si
02/08/2017,Martínez Rosales Rosmery,Si
02/08/2017,Varón Cotrino Germán,No
02/08/2017,Alvarez Montenegro Javier Tato,No
02/08/2017,Cristo Bustos Andrés,No
02/08/2017,Fernández Alcocer Mario Alberto,No
02/08/2017,Gaviria Correa Sofía Alejandra,No
02/08/2017,Morales Hoyos Viviane,Si
02/08/2017,Serpa Uribe Horacio,No
02/08/2017,Acuña  Díaz Laureano Augusto,No
02/08/2017,Blel Scaf Nadya Georgette,No
02/08/2017,Delgado Martínez Javier Mauricio,No
02/08/2017,Gómez Jiménez Juan Diego,No
02/08/2017,Osorio  Salgado Nidia Marcela,No
02/08/2017,Pestana Rojas Yamina del Carmen,Si
02/08/2017,Araújo Rumié Fernando Nicolás,No
02/08/2017,Bustamante García Everth,No
02/08/2017,Cabrales Castillo Daniel  Alberto,Si
02/08/2017,Castañeda Serrano Orlando,Si
02/08/2017,Correa  Borrero Susana,Si
02/08/2017,Duque Márquez Iván,No
02/08/2017,Gaviria Vélez José  Obdulio,No
02/08/2017,Baron Neira Leon Rigoberto,Si
02/08/2017,Holguín Moreno Paola  Andrea,No
02/08/2017,Macías Tovar Ernesto,Si
02/08/2017,Mejía Mejía Carlos  Felipe,Si
02/08/2017,Ramos Maya Alfredo,Si
02/08/2017,Rangel  Suárez Alfredo,No
02/08/2017,Tovar Rey Nohora  Stella,Si
02/08/2017,Uribe Vélez Álvaro,Si
02/08/2017,Valencia  Laserna Paloma,Si
02/08/2017,Guerra  de la Espriella Maria del Rosario,Si
02/08/2017,Amín Hernández Jaime Alejandro,Si
02/08/2017,Henríquez Pinedo Honorio Miguel,Si
02/08/2017,Amín Escaf Miguel,Si
02/08/2017,Cabrera Báez Ángel Custodio,No
02/08/2017,Chamorro  Cruz William Jimmy,Si
02/08/2017,García Zuccardi Andrés,Si
02/08/2017,Gnecco Zuleta José  Alfredo,No
02/08/2017,Pulgar Daza Eduardo Enrique,No
02/08/2017,Villadiego Villadiego Sandra  Elena,No
02/08/2017,Rodríguez Rengifo Roosvelt,Si
02/10/2017,Vega  de Plazas Ruby Thania,No
02/10/2017,Andrade Serrano Hernán Francisco,No
02/10/2017,Asthon Giraldo Álvaro Antonio,Si
02/10/2017,Benedetti Villaneda Armando Alberto,No
02/10/2017,Celis Carrillo Bernabé,No
02/10/2017,Cepeda Sarabia Efraín José,No
02/10/2017,Corzo Román Juan Manuel,No
02/10/2017,Char Chaljub Arturo,No
02/10/2017,Duque Garcia Luis Fernando,No
02/10/2017,Enríquez Maya Carlos Eduardo,No
02/10/2017,Enríquez Rosero Manuel Mesías,Si
02/10/2017,Galán Pachón Juan Manuel,Si
02/10/2017,Galvis Méndez Daira,Si
02/10/2017,García Realpe Guillermo,No
02/10/2017,Gerlein Echeverría Roberto,No
02/10/2017,Guerra de la Espriella Antonio del Cristo,No
02/10/2017,López Maya Alexánder,No
02/10/2017,Mora Jaramillo Manuel Guillermo,No
02/10/2017,Name Cardozo José David,Si
02/10/2017,Pedraza Gutiérrez Jorge Hernando,No
02/10/2017,Restrepo Escobar Juan Carlos,Si
02/10/2017,Robledo Castillo Jorge Enrique,No
02/10/2017,Rodríguez Sarmiento Milton Arlex,Si
02/10/2017,Sierra Grajales Luis Emilio,No
02/10/2017,Velasco Chaves  Luis Fernando,No
02/10/2017,Aguilar Hurtado Nerthink Mauricio,Si
02/10/2017,Avirama Avirama Marco Aníbal,No
02/10/2017,Barreras Montealegre Roy Leonardo,Si
02/10/2017,Besaile Fayad Musa,Si
02/10/2017,Elías Vidal Bernardo Miguel,Si
02/10/2017,Hoyos Giraldo Germán Darío,Si
02/10/2017,Lizcano Arango Oscar Mauricio,Si
02/10/2017,Martínez Aristizábal Maritza,Si
02/10/2017,García Burgos Nora María,No
02/10/2017,Merheg Marun Juan Samy,No
02/10/2017,Paredes Aguirre Myriam Alicia,No
02/10/2017,Suárez Mira Olga Lucía,No
02/10/2017,Tamayo Tamayo Fernando Eustacio,No
02/10/2017,Casado de López Arleth Patricia,Si
02/10/2017,Delgado Ruiz Édinson,No
02/10/2017,Durán Barrera Jaime Enrique,No
02/10/2017,García Turbay Lidio,Si
02/10/2017,Santos Marín Guillermo Antonio,Si
02/10/2017,Villalba Mosquera Rodrigo,Si
02/10/2017,Correa Jiménez Antonio José,No
02/10/2017,García Romero Teresita,No
02/10/2017,Guerra Sotto Julio Miguel,No
02/10/2017,Motoa Solarte Carlos Fernando,No
02/10/2017,Name Iván Leonidas,Si
02/10/2017,Vega Quiroz Doris Clemencia,No
02/10/2017,Andrade Casamá Luis Evelis,No
02/10/2017,Castilla Salazar Jesús Alberto,No
02/10/2017,Cepeda Castro Iván,No
02/10/2017,Niño Avendaño Senén Segundo,No
02/10/2017,López Hernández Claudia Nayibe,No
02/10/2017,Navarro Wolff Antonio José,No
02/10/2017,Ospina Gómez Jorge Iván,No
02/10/2017,Prieto Riveros Jorge Eliécer,No
02/10/2017,Dusan Albin Velez Trujillo,No
02/10/2017,Martínez Rosales Rosmery,No
02/10/2017,Varón Cotrino Germán,No
02/10/2017,Alvarez Montenegro Javier Tato,Si
02/10/2017,Cristo Bustos Andrés,No
02/10/2017,Fernández Alcocer Mario Alberto,Si
02/10/2017,Gaviria Correa Sofía Alejandra,No
02/10/2017,Morales Hoyos Viviane,No
02/10/2017,Serpa Uribe Horacio,Si
02/10/2017,Acuña  Díaz Laureano Augusto,Si
02/10/2017,Blel Scaf Nadya Georgette,No
02/10/2017,Delgado Martínez Javier Mauricio,No
02/10/2017,Gómez Jiménez Juan Diego,No
02/10/2017,Osorio  Salgado Nidia Marcela,No
02/10/2017,Pestana Rojas Yamina del Carmen,No
02/10/2017,Araújo Rumié Fernando Nicolás,No
02/10/2017,Bustamante García Everth,No
02/14/2017,López Maya Alexánder,Si
02/10/2017,Cabrales Castillo Daniel  Alberto,No
02/10/2017,Castañeda Serrano Orlando,No
02/10/2017,Correa  Borrero Susana,No
02/10/2017,Duque Márquez Iván,No
02/10/2017,Gaviria Vélez José  Obdulio,Si
02/10/2017,Baron Neira Leon Rigoberto,No
02/10/2017,Holguín Moreno Paola  Andrea,No
02/10/2017,Macías Tovar Ernesto,No
02/10/2017,Mejía Mejía Carlos  Felipe,No
02/10/2017,Ramos Maya Alfredo,No
02/10/2017,Rangel  Suárez Alfredo,No
02/10/2017,Tovar Rey Nohora  Stella,No
02/10/2017,Uribe Vélez Álvaro,No
02/10/2017,Valencia  Laserna Paloma,No
02/10/2017,Guerra  de la Espriella Maria del Rosario,No
02/10/2017,Amín Hernández Jaime Alejandro,No
02/10/2017,Henríquez Pinedo Honorio Miguel,No
02/10/2017,Amín Escaf Miguel,Si
02/10/2017,Cabrera Báez Ángel Custodio,Si
02/10/2017,Chamorro  Cruz William Jimmy,No
02/10/2017,García Zuccardi Andrés,No
02/10/2017,Gnecco Zuleta José  Alfredo,Si
02/10/2017,Pulgar Daza Eduardo Enrique,No
02/10/2017,Villadiego Villadiego Sandra  Elena,Si
02/10/2017,Rodríguez Rengifo Roosvelt,No
02/13/2017,Vega  de Plazas Ruby Thania,Si
02/13/2017,Andrade Serrano Hernán Francisco,No
02/13/2017,Asthon Giraldo Álvaro Antonio,No
02/13/2017,Benedetti Villaneda Armando Alberto,Si
02/13/2017,Celis Carrillo Bernabé,Si
02/13/2017,Cepeda Sarabia Efraín José,Si
02/13/2017,Corzo Román Juan Manuel,No
02/13/2017,Char Chaljub Arturo,No
02/13/2017,Duque Garcia Luis Fernando,Si
02/13/2017,Enríquez Maya Carlos Eduardo,No
02/13/2017,Enríquez Rosero Manuel Mesías,Si
02/13/2017,Galán Pachón Juan Manuel,No
02/13/2017,Galvis Méndez Daira,Si
02/13/2017,García Realpe Guillermo,Si
02/13/2017,Gerlein Echeverría Roberto,No
02/13/2017,Guerra de la Espriella Antonio del Cristo,Si
02/13/2017,López Maya Alexánder,Si
02/13/2017,Mora Jaramillo Manuel Guillermo,Si
02/13/2017,Name Cardozo José David,No
02/13/2017,Pedraza Gutiérrez Jorge Hernando,No
02/13/2017,Restrepo Escobar Juan Carlos,Si
02/13/2017,Robledo Castillo Jorge Enrique,Si
02/13/2017,Rodríguez Sarmiento Milton Arlex,Si
02/13/2017,Sierra Grajales Luis Emilio,Si
02/13/2017,Velasco Chaves  Luis Fernando,Si
02/13/2017,Aguilar Hurtado Nerthink Mauricio,Si
02/13/2017,Avirama Avirama Marco Aníbal,Si
02/13/2017,Barreras Montealegre Roy Leonardo,Si
02/13/2017,Besaile Fayad Musa,No
02/13/2017,Elías Vidal Bernardo Miguel,No
02/13/2017,Hoyos Giraldo Germán Darío,Si
02/13/2017,Lizcano Arango Oscar Mauricio,Si
02/13/2017,Martínez Aristizábal Maritza,Si
02/13/2017,García Burgos Nora María,Si
02/13/2017,Merheg Marun Juan Samy,Si
02/13/2017,Paredes Aguirre Myriam Alicia,No
02/13/2017,Suárez Mira Olga Lucía,Si
02/13/2017,Tamayo Tamayo Fernando Eustacio,No
02/13/2017,Casado de López Arleth Patricia,Si
02/13/2017,Delgado Ruiz Édinson,No
02/13/2017,Durán Barrera Jaime Enrique,Si
02/13/2017,García Turbay Lidio,No
02/13/2017,Santos Marín Guillermo Antonio,No
02/13/2017,Villalba Mosquera Rodrigo,Si
02/13/2017,Correa Jiménez Antonio José,No
02/13/2017,García Romero Teresita,Si
02/13/2017,Guerra Sotto Julio Miguel,Si
02/13/2017,Motoa Solarte Carlos Fernando,Si
02/13/2017,Name Iván Leonidas,Si
02/13/2017,Vega Quiroz Doris Clemencia,No
02/13/2017,Andrade Casamá Luis Evelis,Si
02/13/2017,Castilla Salazar Jesús Alberto,Si
02/13/2017,Cepeda Castro Iván,Si
02/13/2017,Niño Avendaño Senén Segundo,Si
02/13/2017,López Hernández Claudia Nayibe,Si
02/13/2017,Navarro Wolff Antonio José,Si
02/13/2017,Ospina Gómez Jorge Iván,No
02/13/2017,Prieto Riveros Jorge Eliécer,Si
02/13/2017,Dusan Albin Velez Trujillo,Si
