Fecha de la Plenaria,Nombre del Senador,Resultado
2017-01-30,Enriquez Maya Carlos Eduardo,No
2017-01-30,Enriquez Rosero Manuel Mesias,No
2017-01-30,Galan Pachon Juan Manuel,No
2017-01-30,Galvis Mendez Daira,No
2017-01-30,Garcia Realpe Guillermo,No
2017-01-30,Gerlein Echeverria Roberto,No
2017-01-30,Guerra de la Espriella Antonio del Cristo,No
2017-01-30,Lopez Maya Alexander,No
2017-01-30,Mora Jaramillo Manuel Guillermo,No
2017-01-30,Name Cardozo Jose David,No
2017-01-30,Pedraza Gutierrez Jorge Hernando,No
2017-01-30,Restrepo Escobar Juan Carlos,No
2017-01-30,Robledo Castillo Jorge Enrique,No
2017-01-30,Rodriguez Sarmiento Milton Arlex,No
2017-01-30,Sierra Grajales Luis Emilio,No
2017-01-30,Velasco Chaves  Luis Fernando,No
2017-01-30,Aguilar Hurtado Nerthink Mauricio,No
2017-01-30,Avirama Avirama Marco Anibal,No
2017-01-30,Barreras Montealegre Roy Leonardo,No
2017-01-30,Besaile Fayad Musa,No
2017-01-30,Elias Vidal Bernardo Miguel,No
2017-01-30,Hoyos Giraldo German Dario,No
2017-01-30,Lizcano Arango Oscar Mauricio,No
2017-01-30,Martinez Aristizabal Maritza,No
2017-01-30,Garcia Burgos Nora Maria,No
2017-01-30,Merheg Marun Juan Samy,No
2017-01-30,Paredes Aguirre Myriam Alicia,No
2017-01-30,Suarez Mira Olga Lucia,No
2017-01-30,Tamayo Tamayo Fernando Eustacio,No
2017-01-30,Casado de Lopez Arleth Patricia,No
2017-01-30,Delgado Ruiz Edinson,No
2017-01-30,Duran Barrera Jaime Enrique,No
2017-01-30,Garcia Turbay Lidio,No
2017-01-30,Santos Marin Guillermo Antonio,No
2017-01-30,Villalba Mosquera Rodrigo,No
2017-01-30,Correa Jimenez Antonio Jose,No
2017-01-30,Garcia Romero Teresita,No
2017-01-30,Guerra Sotto Julio Miguel,No
2017-01-30,Motoa Solarte Carlos Fernando,No
2017-01-30,Name Ivan Leonidas,No
2017-01-30,Vega Quiroz Doris Clemencia,No
2017-01-30,Andrade Casama Luis Evelis,No
2017-01-30,Castilla Salazar Jesus Alberto,No
2017-01-30,Cepeda Castro Ivan,No
2017-01-30,Niño Avendaño Senen Segundo,No
2017-01-30,Lopez Hernandez Claudia Nayibe,No
2017-01-30,Navarro Wolff Antonio Jose,No
2017-01-30,Ospina Gomez Jorge Ivan,No
2017-01-30,Prieto Riveros Jorge Eliecer,No
2017-01-30,Dusan Albin Velez Trujillo,No
2017-01-30,Martinez Rosales Rosmery,No
2017-01-30,Varon Cotrino German,No
2017-01-30,Alvarez Montenegro Javier Tato,No
2017-01-30,Cristo Bustos Andres,No
2017-01-30,Fernandez Alcocer Mario Alberto,No
2017-01-30,Gaviria Correa Sofia Alejandra,No
2017-01-30,Morales Hoyos Viviane,No
2017-01-30,Serpa Uribe Horacio,No
2017-01-30,Acuña  Diaz Laureano Augusto,No
2017-01-30,Blel Scaf Nadya Georgette,No
2017-01-30,Delgado Martinez Javier Mauricio,No
2017-01-30,Gomez Jimenez Juan Diego,No
2017-01-30,Osorio  Salgado Nidia Marcela,No
2017-01-30,Pestana Rojas Yamina del Carmen,No
2017-01-30,Araujo Rumie Fernando Nicolas,No
2017-01-30,Bustamante Garcia Everth,No
2017-01-30,Cabrales Castillo Daniel  Alberto,No
2017-01-30,Castañeda Serrano Orlando,No
2017-01-30,Correa  Borrero Susana,No
2017-01-30,Duque Marquez Ivan,No
2017-01-30,Gaviria Velez Jose  Obdulio,No
2017-01-30,Baron Neira Leon Rigoberto,No
2017-01-30,Holguin Moreno Paola  Andrea,No
2017-01-30,Macias Tovar Ernesto,No
2017-01-30,Mejia Mejia Carlos  Felipe,No
2017-01-30,Ramos Maya Alfredo,No
2017-01-30,Rangel  Suarez Alfredo,No
2017-01-30,Tovar Rey Nohora  Stella,No
2017-01-30,Uribe Velez Alvaro,No
2017-01-30,Valencia  Laserna Paloma,No
2017-01-30,Guerra  de la Espriella Maria del Rosario,No
2017-01-30,Amin Hernandez Jaime Alejandro,No
2017-01-30,Henriquez Pinedo Honorio Miguel,No
2017-01-30,Amin Escaf Miguel,No
2017-01-30,Cabrera Baez Angel Custodio,No
2017-01-30,Chamorro  Cruz William Jimmy,No
2017-01-30,Garcia Zuccardi Andres,No
2017-01-30,Gnecco Zuleta Jose  Alfredo,No
2017-01-30,Pulgar Daza Eduardo Enrique,No
2017-01-30,Villadiego Villadiego Sandra  Elena,No
2017-01-30,Rodriguez Rengifo Roosvelt,No
2017-02-03,Vega  de Plazas Ruby Thania,No
2017-02-03,Andrade Serrano Hernan Francisco,No
2017-02-03,Asthon Giraldo Alvaro Antonio,No
2017-02-03,Benedetti Villaneda Armando Alberto,No
2017-02-03,Celis Carrillo Bernabe,No
2017-02-03,Cepeda Sarabia Efrain Jose,No
2017-02-03,Corzo Roman Juan Manuel,No
2017-02-03,Char Chaljub Arturo,No
2017-02-03,Duque Garcia Luis Fernando,No
2017-02-03,Enriquez Maya Carlos Eduardo,No
2017-02-03,Enriquez Rosero Manuel Mesias,No
2017-02-03,Galan Pachon Juan Manuel,No
2017-02-03,Galvis Mendez Daira,No
2017-02-03,Garcia Realpe Guillermo,No
2017-02-03,Gerlein Echeverria Roberto,No
2017-02-03,Guerra de la Espriella Antonio del Cristo,No
2017-02-03,Lopez Maya Alexander,No
2017-02-03,Mora Jaramillo Manuel Guillermo,No
2017-02-03,Name Cardozo Jose David,No
2017-02-03,Pedraza Gutierrez Jorge Hernando,No
2017-02-03,Restrepo Escobar Juan Carlos,No
2017-02-03,Robledo Castillo Jorge Enrique,No
2017-02-03,Rodriguez Sarmiento Milton Arlex,No
2017-02-03,Sierra Grajales Luis Emilio,No
2017-02-03,Velasco Chaves  Luis Fernando,No
2017-02-03,Aguilar Hurtado Nerthink Mauricio,No
2017-02-03,Avirama Avirama Marco Anibal,No
2017-02-03,Barreras Montealegre Roy Leonardo,No
2017-02-03,Besaile Fayad Musa,No
2017-02-03,Elias Vidal Bernardo Miguel,No
2017-02-03,Hoyos Giraldo German Dario,No
2017-02-03,Lizcano Arango Oscar Mauricio,No
2017-02-03,Martinez Aristizabal Maritza,No
2017-02-03,Garcia Burgos Nora Maria,No
2017-02-03,Merheg Marun Juan Samy,No
2017-02-03,Paredes Aguirre Myriam Alicia,No
2017-02-03,Suarez Mira Olga Lucia,No
2017-02-03,Tamayo Tamayo Fernando Eustacio,No
2017-02-03,Casado de Lopez Arleth Patricia,No
2017-02-03,Delgado Ruiz Edinson,No
2017-02-03,Duran Barrera Jaime Enrique,No
2017-02-03,Garcia Turbay Lidio,No
2017-02-03,Santos Marin Guillermo Antonio,No
2017-02-03,Villalba Mosquera Rodrigo,No
2017-02-03,Correa Jimenez Antonio Jose,No
2017-02-03,Garcia Romero Teresita,No
2017-02-03,Guerra Sotto Julio Miguel,No
2017-02-03,Motoa Solarte Carlos Fernando,No
2017-02-03,Name Ivan Leonidas,No
2017-02-03,Vega Quiroz Doris Clemencia,No
2017-02-03,Andrade Casama Luis Evelis,No
2017-02-03,Castilla Salazar Jesus Alberto,No
2017-02-03,Cepeda Castro Ivan,No
2017-02-03,Niño Avendaño Senen Segundo,No
2017-02-03,Lopez Hernandez Claudia Nayibe,No
2017-02-03,Navarro Wolff Antonio Jose,No
2017-02-03,Ospina Gomez Jorge Ivan,No
2017-02-03,Prieto Riveros Jorge Eliecer,No
2017-02-03,Dusan Albin Velez Trujillo,No
2017-02-03,Martinez Rosales Rosmery,No
2017-02-03,Varon Cotrino German,No
2017-02-03,Alvarez Montenegro Javier Tato,No
2017-02-03,Cristo Bustos Andres,No
2017-02-03,Fernandez Alcocer Mario Alberto,No
2017-02-03,Gaviria Correa Sofia Alejandra,No
2017-02-03,Morales Hoyos Viviane,No
2017-02-03,Serpa Uribe Horacio,No
2017-02-03,Acuña  Diaz Laureano Augusto,No
2017-02-03,Blel Scaf Nadya Georgette,No
2017-02-03,Delgado Martinez Javier Mauricio,No
2017-02-03,Gomez Jimenez Juan Diego,No
2017-02-03,Osorio  Salgado Nidia Marcela,No
2017-02-03,Pestana Rojas Yamina del Carmen,No
2017-02-03,Araujo Rumie Fernando Nicolas,No
2017-02-03,Bustamante Garcia Everth,No
2017-02-03,Cabrales Castillo Daniel  Alberto,No
2017-02-03,Castañeda Serrano Orlando,No
2017-02-03,Correa  Borrero Susana,No
2017-02-03,Duque Marquez Ivan,No
2017-02-03,Gaviria Velez Jose  Obdulio,No
2017-02-03,Baron Neira Leon Rigoberto,No
2017-02-03,Holguin Moreno Paola  Andrea,No
2017-02-03,Macias Tovar Ernesto,No
2017-02-03,Mejia Mejia Carlos  Felipe,No
2017-02-03,Ramos Maya Alfredo,No
2017-02-03,Rangel  Suarez Alfredo,No
2017-02-03,Tovar Rey Nohora  Stella,No
2017-02-03,Uribe Velez Alvaro,No
2017-02-03,Valencia  Laserna Paloma,No
2017-02-03,Guerra  de la Espriella Maria del Rosario,No
2017-02-03,Amin Hernandez Jaime Alejandro,No
2017-02-03,Henriquez Pinedo Honorio Miguel,No
2017-02-03,Amin Escaf Miguel,No
2017-02-03,Cabrera Baez Angel Custodio,No
2017-02-03,Chamorro  Cruz William Jimmy,No
2017-02-03,Garcia Zuccardi Andres,No
2017-02-03,Gnecco Zuleta Jose  Alfredo,No
2017-02-03,Pulgar Daza Eduardo Enrique,No
2017-02-03,Villadiego Villadiego Sandra  Elena,No
2017-02-03,Rodriguez Rengifo Roosvelt,No
2017-02-08,Vega  de Plazas Ruby Thania,Si
2017-02-08,Andrade Serrano Hernan Francisco,No
2017-02-08,Asthon Giraldo Alvaro Antonio,No
2017-02-08,Benedetti Villaneda Armando Alberto,No
2017-02-08,Celis Carrillo Bernabe,No
2017-02-08,Cepeda Sarabia Efrain Jose,Si
2017-02-08,Corzo Roman Juan Manuel,No
2017-02-08,Char Chaljub Arturo,No
2017-02-08,Duque Garcia Luis Fernando,No
2017-02-08,Enriquez Maya Carlos Eduardo,Si
2017-02-08,Enriquez Rosero Manuel Mesias,Si
2017-02-08,Galan Pachon Juan Manuel,No
2017-02-08,Galvis Mendez Daira,No
2017-02-08,Garcia Realpe Guillermo,No
2017-02-08,Gerlein Echeverria Roberto,No
2017-02-08,Guerra de la Espriella Antonio del Cristo,No
2017-02-08,Lopez Maya Alexander,Si
2017-02-08,Mora Jaramillo Manuel Guillermo,No
2017-02-08,Name Cardozo Jose David,No
2017-02-08,Pedraza Gutierrez Jorge Hernando,No
2017-02-08,Restrepo Escobar Juan Carlos,Si
2017-02-08,Robledo Castillo Jorge Enrique,No
2017-02-08,Rodriguez Sarmiento Milton Arlex,Si
2017-02-08,Sierra Grajales Luis Emilio,No
2017-02-08,Velasco Chaves  Luis Fernando,No
2017-02-08,Aguilar Hurtado Nerthink Mauricio,No
2017-02-08,Avirama Avirama Marco Anibal,Si
2017-02-08,Barreras Montealegre Roy Leonardo,No
2017-02-08,Besaile Fayad Musa,No
2017-02-08,Elias Vidal Bernardo Miguel,No
2017-02-08,Hoyos Giraldo German Dario,Si
2017-02-08,Lizcano Arango Oscar Mauricio,No
2017-02-08,Martinez Aristizabal Maritza,Si
2017-02-08,Garcia Burgos Nora Maria,Si
2017-02-08,Merheg Marun Juan Samy,Si
2017-02-08,Paredes Aguirre Myriam Alicia,Si
2017-02-08,Suarez Mira Olga Lucia,No
2017-02-08,Tamayo Tamayo Fernando Eustacio,No
2017-02-08,Casado de Lopez Arleth Patricia,No
2017-02-08,Delgado Ruiz Edinson,No
2017-02-08,Duran Barrera Jaime Enrique,No
2017-02-08,Garcia Turbay Lidio,No
2017-02-08,Santos Marin Guillermo Antonio,No
2017-02-08,Villalba Mosquera Rodrigo,Si
2017-02-08,Correa Jimenez Antonio Jose,No
2017-02-08,Garcia Romero Teresita,No
2017-02-08,Guerra Sotto Julio Miguel,No
2017-02-08,Motoa Solarte Carlos Fernando,Si
2017-02-08,Name Ivan Leonidas,No
2017-02-08,Vega Quiroz Doris Clemencia,Si
2017-02-08,Andrade Casama Luis Evelis,Si
2017-02-08,Castilla Salazar Jesus Alberto,No
2017-02-08,Cepeda Castro Ivan,Si
2017-02-08,Niño Avendaño Senen Segundo,Si
2017-02-08,Lopez Hernandez Claudia Nayibe,Si
2017-02-08,Navarro Wolff Antonio Jose,Si
2017-02-08,Ospina Gomez Jorge Ivan,Si
2017-02-08,Prieto Riveros Jorge Eliecer,No
2017-02-08,Dusan Albin Velez Trujillo,Si
2017-02-08,Martinez Rosales Rosmery,Si
2017-02-08,Varon Cotrino German,No
2017-02-08,Alvarez Montenegro Javier Tato,No
2017-02-08,Cristo Bustos Andres,No
2017-02-08,Fernandez Alcocer Mario Alberto,No
2017-02-08,Gaviria Correa Sofia Alejandra,No
2017-02-08,Morales Hoyos Viviane,Si
2017-02-08,Serpa Uribe Horacio,No
2017-02-08,Acuña  Diaz Laureano Augusto,No
2017-02-08,Blel Scaf Nadya Georgette,No
2017-02-08,Delgado Martinez Javier Mauricio,No
2017-02-08,Gomez Jimenez Juan Diego,No
2017-02-08,Osorio  Salgado Nidia Marcela,No
2017-02-08,Pestana Rojas Yamina del Carmen,Si
2017-02-08,Araujo Rumie Fernando Nicolas,No
2017-02-08,Bustamante Garcia Everth,No
2017-02-08,Cabrales Castillo Daniel  Alberto,Si
2017-02-08,Castañeda Serrano Orlando,Si
2017-02-08,Correa  Borrero Susana,Si
2017-02-08,Duque Marquez Ivan,No
2017-02-08,Gaviria Velez Jose  Obdulio,No
2017-02-08,Baron Neira Leon Rigoberto,Si
2017-02-08,Holguin Moreno Paola  Andrea,No
2017-02-08,Macias Tovar Ernesto,Si
2017-02-08,Mejia Mejia Carlos  Felipe,Si
2017-02-08,Ramos Maya Alfredo,Si
2017-02-08,Rangel  Suarez Alfredo,No
2017-02-08,Tovar Rey Nohora  Stella,Si
2017-02-08,Uribe Velez Alvaro,Si
2017-02-08,Valencia  Laserna Paloma,Si
2017-02-08,Guerra  de la Espriella Maria del Rosario,Si
2017-02-08,Amin Hernandez Jaime Alejandro,Si
2017-02-08,Henriquez Pinedo Honorio Miguel,Si
2017-02-08,Amin Escaf Miguel,Si
2017-02-08,Cabrera Baez Angel Custodio,No
2017-02-08,Chamorro  Cruz William Jimmy,Si
2017-02-08,Garcia Zuccardi Andres,Si
2017-02-08,Gnecco Zuleta Jose  Alfredo,No
2017-02-08,Pulgar Daza Eduardo Enrique,No
2017-02-08,Villadiego Villadiego Sandra  Elena,No
2017-02-08,Rodriguez Rengifo Roosvelt,Si
2017-02-10,Vega  de Plazas Ruby Thania,No
