ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001139,HY190656,03/19/2015 08:00:00 AM,020XX W HARRISON ST,810,THEFT,OVER $500,STREET,false,false,1225.00,12.00,2.00,28,6,1162915,1897369,2015,02/10/2018 15:50,41.87402924,-87.67731805,"(41.874029235, -87.677318051)"
10001141,HY190686,10/07/2014 14:00,040XX N SHERIDAN RD,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,1915.00,19.00,46.00,3,11,1168871,1927221,2014,02/10/2018 15:50,41.95581781,-87.65458309,"(41.955817813, -87.654583094)"
10001142,HY179885,03/11/2015 9:15,033XX W CHICAGO AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,true,false,1121.00,11.00,27.00,23,26,1153745,1905130,2015,02/10/2018 15:50,41.89551359,-87.71077942,"(41.895513591, -87.710779417)"
10001143,HY187772,03/17/2015 09:30:00 AM,031XX N WESTERN AVE,560,ASSAULT,SIMPLE,STREET,false,false,1931.00,19.00,1.00,5,08A,1159787,1920932,2015,02/10/2018 15:50,41.938753,-87.68815192,"(41.938752998, -87.688151917)"
10001145,HY190695,03/19/2015 02:30:00 PM,001XX N CANAL ST,810,THEFT,OVER $500,SIDEWALK,false,false,121.00,1.00,42.00,28,6,1173105,1901071,2015,02/10/2018 15:50,41.88396796,-87.63979554,"(41.883967957, -87.63979554)"
10001146,HY190688,03/19/2015 02:00:00 PM,028XX W OGDEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1022.00,10.00,24.00,29,14,1157628,1892554,2015,02/10/2018 15:50,41.86092563,-87.69686055,"(41.860925626, -87.696860554)"
10001147,HY190698,03/19/2015 03:10:00 PM,039XX W WILCOX ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1122.00,11.00,28.00,26,26,1150243,1899048,2015,02/10/2018 15:50,41.87889294,-87.7238002,"(41.878892943, -87.723800197)"
10001148,HY190691,03/19/2015 01:00:00 PM,009XX S WABASH AVE,820,THEFT,$500 AND UNDER,STREET,false,false,123.00,1.00,2.00,32,6,1176929,1896154,2015,02/10/2018 15:50,41.87038976,-87.6259024,"(41.870389764, -87.625902397)"
10001149,HY190721,03/18/2015 06:00:00 PM,100XX S PRINCETON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,511.00,5.00,9.00,49,14,1176056,1838463,2015,02/10/2018 15:50,41.71209952,-87.63083811,"(41.712099519, -87.630838105)"
10001152,HY190692,03/19/2015 02:50:00 PM,027XX N HARLEM AVE,890,THEFT,FROM BUILDING,OTHER,false,false,2512.00,25.00,36.00,18,6,1127617,1917520,2015,02/10/2018 15:50,41.92999356,-87.80646356,"(41.92999356, -87.806463562)"
10001154,HY190580,03/15/2015 05:00:00 PM,015XX N ORLEANS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1821.00,18.00,27.00,8,14,1173630,1910501,2015,02/10/2018 15:50,41.90983274,-87.63758689,"(41.909832738, -87.637586893)"
10001157,HY190652,03/19/2015 02:15:00 PM,076XX S HOMAN AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",true,false,835.00,8.00,18.00,70,04B,1155024,1853614,2015,02/10/2018 15:50,41.75412154,-87.70746025,"(41.754121535, -87.707460248)"
10001158,HY190697,03/19/2015 02:30:00 PM,006XX E 47TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,221.00,2.00,4.00,38,18,1181522,1873998,2015,02/10/2018 15:50,41.80948714,-87.60972553,"(41.809487139, -87.609725527)"
10001159,HY190653,03/05/2015 16:30,072XX S MOZART ST,810,THEFT,OVER $500,RESIDENCE,false,false,831.00,8.00,18.00,66,6,1158628,1856423,2015,02/10/2018 15:50,41.76175716,-87.69417618,"(41.761757156, -87.694176178)"
10001160,HY190587,03/19/2015 08:11:00 AM,024XX W 63RD ST,860,THEFT,RETAIL THEFT,TAVERN/LIQUOR STORE,true,false,825.00,8.00,15.00,66,6,1161027,1862810,2015,02/10/2018 15:50,41.77923474,-87.68520713,"(41.779234743, -87.685207125)"
10001161,HY190671,03/19/2015 02:00:00 PM,041XX N CLAREMONT AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,1911.00,19.00,47.00,5,11,1159961,1927463,2015,02/10/2018 15:50,41.95667085,-87.68733151,"(41.95667085, -87.687331513)"
10001163,HY190718,03/18/2015 09:00:00 PM,017XX W 80TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,611.00,6.00,21.00,71,11,1166308,1851650,2015,02/10/2018 15:50,41.74849934,-87.66616372,"(41.74849934, -87.666163718)"
10001170,HY190664,10/01/2014 7:00,116XX S LAFAYETTE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,false,false,522.00,5.00,34.00,53,11,1178005,1827588,2014,02/10/2018 15:50,41.68221311,-87.62402835,"(41.68221311, -87.624028347)"
10001171,HY190726,03/19/2015 11:30:00 AM,026XX W 63RD ST,890,THEFT,FROM BUILDING,OTHER,false,false,825.00,8.00,15.00,66,6,1159874,1862780,2015,02/10/2018 15:50,41.77917619,-87.68943499,"(41.779176188, -87.689434991)"
10001172,HY190668,03/12/2015 16:00,076XX S DR MARTIN LUTHER KING JR DR,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,623.00,6.00,6.00,69,26,1180228,1854481,2015,02/10/2018 15:50,41.75596041,-87.61506962,"(41.755960412, -87.615069618)"
