name,Fecha,Sexo,CantidadTotal
Homicidios,16/03/2017,FEMENINO,1
Homicidios,16/03/2017,MASCULINO,8
Homicidios,17/03/2017,FEMENINO,5
Homicidios,17/03/2017,MASCULINO,24
Homicidios,18/03/2017,FEMENINO,3
Homicidios,18/03/2017,MASCULINO,27
Homicidios,19/03/2017,FEMENINO,5
Homicidios,19/03/2017,MASCULINO,44
Homicidios,20/03/2017,FEMENINO,4
Homicidios,20/03/2017,MASCULINO,25
Homicidios,21/03/2017,FEMENINO,4
Homicidios,21/03/2017,MASCULINO,21
Homicidios,22/03/2017,FEMENINO,4
Homicidios,22/03/2017,MASCULINO,26
Homicidios,23/03/2017,FEMENINO,2
Homicidios,23/03/2017,MASCULINO,28
Homicidios,24/03/2017,FEMENINO,1
Homicidios,24/03/2017,MASCULINO,28
Homicidios,25/03/2017,FEMENINO,3
Homicidios,25/03/2017,MASCULINO,30
Homicidios,26/03/2017,FEMENINO,4
Homicidios,26/03/2017,MASCULINO,39
Homicidios,27/03/2017,FEMENINO,3
Homicidios,27/03/2017,MASCULINO,32
Homicidios,28/03/2017,MASCULINO,26
Homicidios,29/03/2017,FEMENINO,2
Homicidios,29/03/2017,MASCULINO,19
Homicidios,30/03/2017,FEMENINO,2
Homicidios,30/03/2017,MASCULINO,16
Homicidios,31/03/2017,MASCULINO,24
Homicidios,01/04/2017,FEMENINO,2
Homicidios,01/04/2017,MASCULINO,28
Homicidios,02/04/2017,FEMENINO,7
Homicidios,02/04/2017,MASCULINO,61
Homicidios,03/04/2017,FEMENINO,4
Homicidios,03/04/2017,MASCULINO,33
Homicidios,04/04/2017,FEMENINO,3
Homicidios,04/04/2017,MASCULINO,22
Homicidios,05/04/2017,FEMENINO,2
Homicidios,05/04/2017,MASCULINO,21
Homicidios,06/04/2017,FEMENINO,5
Homicidios,06/04/2017,MASCULINO,29
Homicidios,07/04/2017,FEMENINO,5
Homicidios,07/04/2017,MASCULINO,35
Homicidios,08/04/2017,FEMENINO,7
Homicidios,08/04/2017,MASCULINO,23
Homicidios,09/04/2017,FEMENINO,3
Homicidios,09/04/2017,MASCULINO,40
Homicidios,10/04/2017,FEMENINO,2
Homicidios,10/04/2017,MASCULINO,32
Homicidios,11/04/2017,FEMENINO,3
Homicidios,11/04/2017,MASCULINO,25
Homicidios,12/04/2017,FEMENINO,3
Homicidios,12/04/2017,MASCULINO,15
Homicidios,13/04/2017,FEMENINO,1
Homicidios,13/04/2017,MASCULINO,24
Homicidios,14/04/2017,FEMENINO,1
Homicidios,14/04/2017,MASCULINO,18
Homicidios,15/04/2017,FEMENINO,4
Homicidios,15/04/2017,MASCULINO,15
Homicidios,16/04/2017,FEMENINO,2
Homicidios,16/04/2017,MASCULINO,39
Homicidios,17/04/2017,FEMENINO,5
Homicidios,17/04/2017,MASCULINO,35
Homicidios,18/04/2017,FEMENINO,2
Homicidios,18/04/2017,MASCULINO,24
Homicidios,19/04/2017,FEMENINO,3
Homicidios,19/04/2017,MASCULINO,29
Homicidios,20/04/2017,FEMENINO,3
Homicidios,20/04/2017,MASCULINO,17
Homicidios,21/04/2017,FEMENINO,2
Homicidios,21/04/2017,MASCULINO,26
Homicidios,22/04/2017,FEMENINO,5
Homicidios,22/04/2017,MASCULINO,43
Homicidios,23/04/2017,FEMENINO,7
Homicidios,23/04/2017,MASCULINO,51
Homicidios,24/04/2017,FEMENINO,5
Homicidios,24/04/2017,MASCULINO,24
Homicidios,25/04/2017,FEMENINO,3
Homicidios,25/04/2017,MASCULINO,18
Homicidios,26/04/2017,FEMENINO,4
Homicidios,26/04/2017,MASCULINO,26
Homicidios,27/04/2017,FEMENINO,5
Homicidios,27/04/2017,MASCULINO,28
Homicidios,28/04/2017,FEMENINO,1
Homicidios,28/04/2017,MASCULINO,23
Homicidios,29/04/2017,MASCULINO,41
Homicidios,30/04/2017,FEMENINO,3
Homicidios,30/04/2017,MASCULINO,47
Homicidios,01/05/2017,FEMENINO,4
Homicidios,01/05/2017,MASCULINO,34
Homicidios,02/05/2017,FEMENINO,6
Homicidios,02/05/2017,MASCULINO,33
Homicidios,03/05/2017,FEMENINO,5
Homicidios,03/05/2017,MASCULINO,27
Homicidios,04/05/2017,FEMENINO,1
Homicidios,04/05/2017,MASCULINO,23
Homicidios,05/05/2017,FEMENINO,2
Homicidios,05/05/2017,MASCULINO,27
Homicidios,06/05/2017,FEMENINO,2
Homicidios,06/05/2017,MASCULINO,26
Homicidios,07/05/2017,FEMENINO,4
Homicidios,07/05/2017,MASCULINO,44
Homicidios,08/05/2017,FEMENINO,3
Homicidios,08/05/2017,MASCULINO,26
Homicidios,09/05/2017,MASCULINO,23
Homicidios,10/05/2017,FEMENINO,2
Homicidios,10/05/2017,MASCULINO,22
Homicidios,11/05/2017,FEMENINO,5
Homicidios,11/05/2017,MASCULINO,9
Homicidios,12/05/2017,FEMENINO,3
Homicidios,12/05/2017,MASCULINO,28
Homicidios,13/05/2017,FEMENINO,4
Homicidios,13/05/2017,MASCULINO,33
Homicidios,14/05/2017,FEMENINO,7
Homicidios,14/05/2017,MASCULINO,46
Homicidios,15/05/2017,FEMENINO,4
Homicidios,15/05/2017,MASCULINO,24
Homicidios,16/05/2017,FEMENINO,5
Homicidios,16/05/2017,MASCULINO,29
Homicidios,17/05/2017,MASCULINO,22
Homicidios,18/05/2017,FEMENINO,2
Homicidios,18/05/2017,MASCULINO,26
Homicidios,19/05/2017,FEMENINO,4
Homicidios,19/05/2017,MASCULINO,31
Homicidios,20/05/2017,FEMENINO,5
Homicidios,20/05/2017,MASCULINO,36
Homicidios,21/05/2017,FEMENINO,9
Homicidios,21/05/2017,MASCULINO,55
Homicidios,22/05/2017,MASCULINO,31
Homicidios,23/05/2017,FEMENINO,4
Homicidios,23/05/2017,MASCULINO,24
Homicidios,24/05/2017,FEMENINO,1
Homicidios,24/05/2017,MASCULINO,28
Homicidios,25/05/2017,FEMENINO,5
Homicidios,25/05/2017,MASCULINO,29
Homicidios,26/05/2017,FEMENINO,3
Homicidios,26/05/2017,MASCULINO,26
Homicidios,27/05/2017,FEMENINO,4
Homicidios,27/05/2017,MASCULINO,31
Homicidios,28/05/2017,FEMENINO,4
Homicidios,28/05/2017,MASCULINO,41
Homicidios,29/05/2017,FEMENINO,3
Homicidios,29/05/2017,MASCULINO,45
Homicidios,30/05/2017,FEMENINO,2
Homicidios,30/05/2017,MASCULINO,25
Homicidios,31/05/2017,FEMENINO,3
Homicidios,31/05/2017,MASCULINO,31
Homicidios,01/06/2017,FEMENINO,2
Homicidios,01/06/2017,MASCULINO,26
Homicidios,02/06/2017,FEMENINO,2
Homicidios,02/06/2017,MASCULINO,27
Homicidios,03/06/2017,FEMENINO,2
Homicidios,03/06/2017,MASCULINO,46
Homicidios,04/06/2017,FEMENINO,3
Homicidios,04/06/2017,MASCULINO,41
Homicidios,05/06/2017,MASCULINO,29
Homicidios,06/06/2017,FEMENINO,5
Homicidios,06/06/2017,MASCULINO,17
Homicidios,07/06/2017,FEMENINO,4
Homicidios,07/06/2017,MASCULINO,23
Homicidios,08/06/2017,FEMENINO,4
Homicidios,08/06/2017,MASCULINO,14
Homicidios,09/06/2017,MASCULINO,20
Homicidios,10/06/2017,FEMENINO,2
Homicidios,10/06/2017,MASCULINO,42
Homicidios,11/06/2017,FEMENINO,3
Homicidios,11/06/2017,MASCULINO,31
Homicidios,12/06/2017,FEMENINO,4
Homicidios,12/06/2017,MASCULINO,24
Homicidios,13/06/2017,FEMENINO,3
Homicidios,13/06/2017,MASCULINO,25
Homicidios,14/06/2017,FEMENINO,3
Homicidios,14/06/2017,MASCULINO,19
Homicidios,15/06/2017,FEMENINO,4
Homicidios,15/06/2017,MASCULINO,22
Homicidios,16/06/2017,FEMENINO,3
Homicidios,16/06/2017,MASCULINO,27
Homicidios,17/06/2017,FEMENINO,5
Homicidios,17/06/2017,MASCULINO,23
Homicidios,18/06/2017,FEMENINO,5
Homicidios,18/06/2017,MASCULINO,44
Homicidios,19/06/2017,FEMENINO,6
Homicidios,19/06/2017,MASCULINO,32
Homicidios,20/06/2017,FEMENINO,4
Homicidios,20/06/2017,MASCULINO,19
Homicidios,21/06/2017,FEMENINO,1
Homicidios,21/06/2017,MASCULINO,23
Homicidios,22/06/2017,FEMENINO,1
Homicidios,22/06/2017,MASCULINO,13
Homicidios,23/06/2017,FEMENINO,4
Homicidios,23/06/2017,MASCULINO,22
Homicidios,24/06/2017,FEMENINO,2
Homicidios,24/06/2017,MASCULINO,25
Homicidios,25/06/2017,FEMENINO,6
Homicidios,25/06/2017,MASCULINO,45
Homicidios,26/06/2017,FEMENINO,3
Homicidios,26/06/2017,MASCULINO,26
Homicidios,27/06/2017,FEMENINO,1
Homicidios,27/06/2017,MASCULINO,32
Homicidios,28/06/2017,MASCULINO,19
Homicidios,29/06/2017,FEMENINO,1
Homicidios,29/06/2017,MASCULINO,28
Homicidios,30/06/2017,FEMENINO,3
Homicidios,30/06/2017,MASCULINO,28
Homicidios,01/07/2017,FEMENINO,4
Homicidios,01/07/2017,MASCULINO,40
Homicidios,02/07/2017,FEMENINO,6
Homicidios,02/07/2017,MASCULINO,63
Homicidios,03/07/2017,FEMENINO,3
Homicidios,03/07/2017,MASCULINO,35
Homicidios,04/07/2017,FEMENINO,2
Homicidios,04/07/2017,MASCULINO,20
Homicidios,05/07/2017,FEMENINO,4
Homicidios,05/07/2017,MASCULINO,22
Homicidios,06/07/2017,FEMENINO,1
Homicidios,06/07/2017,MASCULINO,17
Homicidios,07/07/2017,FEMENINO,1
Homicidios,07/07/2017,MASCULINO,26
Homicidios,08/07/2017,FEMENINO,13
Homicidios,08/07/2017,MASCULINO,45
Homicidios,09/07/2017,FEMENINO,3
Homicidios,09/07/2017,MASCULINO,47
Homicidios,10/07/2017,FEMENINO,4
Homicidios,10/07/2017,MASCULINO,24
Homicidios,11/07/2017,FEMENINO,2
Homicidios,11/07/2017,MASCULINO,24
Homicidios,12/07/2017,FEMENINO,1
Homicidios,12/07/2017,MASCULINO,26
Homicidios,13/07/2017,FEMENINO,4
Homicidios,13/07/2017,MASCULINO,26
Homicidios,14/07/2017,FEMENINO,1
Homicidios,14/07/2017,MASCULINO,25
Homicidios,15/07/2017,MASCULINO,29
Homicidios,16/07/2017,FEMENINO,5
Homicidios,16/07/2017,MASCULINO,68
Homicidios,17/07/2017,MASCULINO,41
Homicidios,18/07/2017,FEMENINO,5
Homicidios,18/07/2017,MASCULINO,17
Homicidios,19/07/2017,FEMENINO,4
Homicidios,19/07/2017,MASCULINO,28
Homicidios,20/07/2017,FEMENINO,1
Homicidios,20/07/2017,MASCULINO,23
Homicidios,21/07/2017,FEMENINO,2
Homicidios,21/07/2017,MASCULINO,29
Homicidios,22/07/2017,MASCULINO,30
Homicidios,23/07/2017,FEMENINO,6
Homicidios,23/07/2017,MASCULINO,51
Homicidios,24/07/2017,FEMENINO,4
Homicidios,24/07/2017,MASCULINO,30
Homicidios,25/07/2017,FEMENINO,2
Homicidios,25/07/2017,MASCULINO,23
Homicidios,26/07/2017,MASCULINO,23
Homicidios,27/07/2017,FEMENINO,2
Homicidios,27/07/2017,MASCULINO,38
Homicidios,28/07/2017,FEMENINO,1
Homicidios,28/07/2017,MASCULINO,27
Homicidios,29/07/2017,FEMENINO,2
Homicidios,29/07/2017,MASCULINO,31
Homicidios,30/07/2017,FEMENINO,3
Homicidios,30/07/2017,MASCULINO,43
Homicidios,31/07/2017,FEMENINO,3
Homicidios,31/07/2017,MASCULINO,20
Homicidios,01/08/2017,FEMENINO,1
Homicidios,01/08/2017,MASCULINO,22
Homicidios,02/08/2017,FEMENINO,3
Homicidios,02/08/2017,MASCULINO,32
Homicidios,03/08/2017,FEMENINO,2
Homicidios,03/08/2017,MASCULINO,19
Homicidios,04/08/2017,FEMENINO,1
Homicidios,04/08/2017,MASCULINO,36
Homicidios,05/08/2017,FEMENINO,6
Homicidios,05/08/2017,MASCULINO,39
Homicidios,06/08/2017,FEMENINO,2
Homicidios,06/08/2017,MASCULINO,49
